佳农（Goodfarmer）主要定位是水果品牌商和供应链企业，公开的常规业务以**整果/鲜果批发、进出口和商超渠道供应**为主，通常并不对外提供“按茶饮店配方做菠萝丁代加工”的服务。

不过，是否能做菠萝丁，取决于你具体对接的是哪一层：

1. **佳农品牌方/总部**
   - 一般不会为单店或小连锁做定制切丁加工。
   - 更可能提供的是整果、鲜切果盒，或通过经销商给到标准化果切产品。

2. **佳农的经销商/区域供应商**
   - 有些经销商会做二次加工或分装，可能能供“菠萝丁”。
   - 但这不是佳农总部统一服务，品质、规格、冷链和稳定性要单独确认。

3. **茶饮原料供应链里的果丁供应商**
   - 如果你要的是稳定用于茶饮的菠萝丁，通常更建议找：速冻水果丁厂、果酱/果粒供应商、餐饮果切加工厂。
   - 常见规格要确认：尺寸（5mm/8mm/10mm等）、糖度、是否糖渍、是否速冻、解冻后出水率、微生物指标、每包克重和保质期。

**建议你直接这样问佳农或经销商：**
- 你们是否供菠萝丁？还是只供整果？
- 如果是菠萝丁，是鲜切、速冻还是糖渍？
- 规格多大？一包多少kg？保质期多久？
- 解冻后出水率多少？能不能提供样品和检测报告？
- 最小起订量是多少？能否稳定周配？

**结论：**
佳农通常更偏向卖整果或标准鲜切，不太会专门给茶饮店做定制菠萝丁加工。你要菠萝丁，优先找**速冻果丁厂或茶饮原料供应商**；如果仍想用佳农，就问它的经销商有没有现成菠萝丁产品。
