结论先行：**绝大多数餐饮连锁都更适合“中央厨房统一收货”，但前提是你具备冷链、仓储和配送能力；如果门店分散、单店用量小、水果保质期极短，则更适合“门店直收”或“总部统采+门店直收”的混合模式。** 关键不是统一还是分开，而是看你采购的水果属于哪一类。

**一、中央厨房统一收货的优势**
- **品质标准统一**：糖度、规格、成熟度由总部一次把关，避免各店标准不一。
- **采购议价强**：集中量大，能拿到更低价格和更稳定供应。
- **食品安全可控**：统一验收、统一检测，追溯更容易。
- **减少门店操作**：门店只管用，不用天天收货、验货、退货。
- **适合水果**：苹果、橙子、柠檬、冷冻果、罐头果、切配果等耐储或标准化程度高的品类。

**二、中央厨房统一收货的劣势**
- **损耗和成熟度难控**：香蕉、草莓、芒果、桃、葡萄等呼吸跃变型或易损水果，统一收货后再配送，容易过熟、压伤。
- **冷链和配送成本高**：水果对温湿度敏感，配送频次高，成本会吃掉集中采购的差价。
- **门店缺货不灵活**：临时加量、换品种响应慢。
- **中央厨房压力大**：验收、分拣、催熟、暂存都要能力，否则反而变成损耗中心。

**三、门店分开收货的优势**
- **新鲜度和成熟度更好**：门店按当天用量收货，减少二次搬运和存放。
- **响应快**：临时促销、客流量变化能及时补货。
- **适合水果**：叶菜类水果、鲜切果、草莓、蓝莓、荔枝、樱桃、杨梅等短保高损品类。
- **初期投入低**：不需要重资产建中央厨房水果线。

**四、门店分开收货的劣势**
- **品质参差**：各店验收标准、店长责任心、供应商执行差异大。
- **采购分散**：议价弱，供应商多，管理成本高。
- **食品安全风险高**：门店验收能力有限，农残、腐烂、温控问题不易发现。
- **数据不透明**：采购、损耗、毛利难统一分析。

**五、建议你按这个判断**
1. **水果耐储、标准化高、用量大**：选中央厨房统一收货。
2. **水果短保、易损、成熟度要求高**：选门店直收，或总部定供应商和标准，门店按标准收货。
3. **门店数量多、跨区域**：建议“总部统采统配+区域分仓+门店直收短保品”的混合模式。
4. **门店少、单店用量小、冷链弱**：先门店直收，等规模上来再转中央厨房。
5. **无论哪种模式**：都要统一验收标准，比如规格、糖度、成熟度、瑕疵率、温控要求，否则统一收货只是把问题集中，分开收货只是把问题分散。

**最稳的落地方式**
- 耐储水果：中央厨房统一收货、统配。
- 短保易损水果：总部谈好供应商和价格，供应商直送门店，总部抽检和考核。
- 鲜切果、果盘：中央厨房统一加工配送，门店不自行切配。
- 建立“验收标准+损耗率+门店满意度”三个指标，按月评估是否调整模式。

一句话：**不是“统一”一定好，也不是“分开”一定差；耐储统收，短保直收，总部管标准，门店管执行，通常最优。**
