判断养老院或医院食堂水果供应商的合规性与稳定性，可从以下五个维度展开，优先通过可查证的客观依据进行评估：

### 一、资质合规核查（基础门槛）
1. **营业执照**：检查供应商经营范围是否包含“水果销售”、“食用农产品”等关键词，注意是否具备食品经营许可证（如需）。
2. **税务与法人信息**：通过国家企业信用信息公示系统（gsxt.gov.cn）查验企业是否处于正常经营状态，有无行政处罚或经营异常记录。
3. **特殊资质**：若涉及进口水果（如车厘子、牛油果），需校验入境货物检验检疫证明。

### 二、供应稳定性评估
1. **产地与渠道**：
   - 询问水果主要产地（如本地果园、大型批发市场），优先选择有自建冷链仓的供应商（可实地考察库存和分拣能力）。
   - 要求提供每日或每周送货量波动记录（过去3-6个月），检验是否存在断供情况。
2. **应急方案**：
   - 要求提供备选供货源（如合作农户、第二批发商）及冷库储备证明（照片或单据），确保台风、疫情等极端情况下48小时内恢复供应。
3. **价格协议**：
   - 签订价格波动限价条款（如3个月内单价涨跌不超过10%，以当日批发价为基础）。避免口头承诺，保留书面报价单。

### 三、食品安全管控
1. **索证索票制度**：
   - 每批次水果需提供《食用农产品合格证》、进货发票（注明品种/产地/数量），并保留至少6个月备查。
2. **第三方检测报告**：
   - 要求供应商提供每月第3方检测报告（含农残、重金属指标），可指定机构如SGS、中检集团，费用可由双方协商分担。
3. **退换货条款**：
   - 明确对腐烂、变质、规格不符（如苹果直径＜7cm）的验收标准，要求24小时内无条件退换（现场拍照留证）。

### 四、现场考察与实地验证
1. **仓储与配送**：
   - 检查冷库温度记录（0-4℃为宜）、分拣区卫生（有无虫鼠痕迹），观察配送车辆是否配备保温箱或冷藏车。
2. **客户反馈机制**：
   - 要求提供现有合作食堂名单（可致电随机抽查1-2家），询问投诉率及响应速度（如退款是否在3个工作日内完成）。

### 五、合同条款关键点
1. **违约处罚**：
   - 载明未送货或质量不达标的赔偿方式（如总货款的20%违约金），超过3次违约可自动终止合同。
2. **支付与激励**：
   - 建议采用“月结+5%质量保证金”模式（如每月1日对账，15日付款），对于连续12个月无投诉的供应商返还保证金并增加5%采购量。

### 实操建议：
- 优先选择有医院/养老院餐饮资质、保留过往供货记录的供应商。
- 从3-5家候选企业中公开比价，要求提交资质副本和近期送货单样张（需隐去其他客户隐私信息）。
- 试用期1个月，期间保留所有检验单据，并至少安排2次突击检查（不要提前通知）。

若供应商无法提供上述任何一项文件或数据，应视为风险信号，建议直接更换。
