酒店早餐水果供应，核心不是“买到便宜水果”，而是**稳定、可控、可追责**。和供应商谈合作时，建议重点抓以下几件事：

1. **先定标准，再谈价格**
   - 明确品类：苹果、香蕉、橙子、西瓜、哈密瓜、圣女果等，哪些是固定供应，哪些是季节替换。
   - 明确规格：单果重量、等级、成熟度、甜度范围、外观要求。
   - 明确加工方式：是整果、切果、去皮、切块，还是净果配送。
   - 明确验收标准：坏果率、压伤率、腐烂率、到货温度、包装方式。

2. **重点谈稳定供应能力**
   - 问清楚货源是自有基地、批发市场，还是多级调货。
   - 问旺季、淡季、节假日、极端天气时怎么保供。
   - 问是否有备用产地或备用供应商。
   - 要求给出每日最大供应量和最小起订量。

3. **配送和验收要写进合同**
   - 配送频次：每日送、隔日送，还是每周几次。
   - 到货时间：必须在早餐备餐前完成验收，避免耽误出餐。
   - 验收方式：抽样称重、开箱检查、现场拍照、签字确认。
   - 不合格处理：拒收、补货、换货、扣款，响应时间要明确。

4. **价格机制要灵活**
   - 不要只谈一个固定价，水果价格波动大。
   - 可以约定：基准价+随行就市浮动，或按周/按月报价。
   - 明确报价是否含税、含运费、含切配、含包装。
   - 约定涨价提前通知期，比如提前3—7天，不能临时加价。

5. **食品安全和资质不能省**
   - 营业执照、食品经营许可证、检验合格证明。
   - 农残检测报告或承诺书，特别是叶果类、圣女果等。
   - 切果供应商还要有冷链、消毒、人员健康证等要求。
   - 出现食品安全问题时，责任、赔偿、终止合作条款要写清楚。

6. **账期和结算方式**
   - 月结、半月结还是货到付款，要结合酒店现金流。
   - 对账依据：送货单、验收单、发票。
   - 约定逾期付款和逾期交货的责任。

7. **试合作再签长期**
   - 先签1—3个月试供，观察到货准时率、坏果率、服务响应。
   - 试供期重点看：早餐高峰会不会断供、临时加量能不能接、质量问题处理快不快。
   - 试供合格后再谈年度框架协议。

8. **合同里必须写清楚的条款**
   - 供应品类、规格、数量、频率。
   - 质量标准、验收方法、不合格处理。
   - 价格及调价机制。
   - 配送时间、地点、冷链要求。
   - 食品安全责任。
   - 违约责任、赔偿标准、解约条件。
   - 不可抗力下的替代方案。

简单说，谈的时候不要只问“多少钱一斤”，而要问：
**“你能不能每天按时送到？坏了怎么赔？临时加量能不能供？食品安全谁负责？价格怎么随行就市？”**

把这几个问题落到合同和验收表里，水果供应才算真正稳定。
