都乐和洪九果品都不是单一“一个基地”，而是“产地+加工/分选+冷链”的网络。做茶饮原料采购时，真正要确认的是某个SKU的产地、加工厂和发货仓，而不是只认品牌。

**都乐**
- 都乐是跨国果蔬品牌，在中国通常通过都乐（上海）水果蔬菜贸易有限公司等主体运营。
- 菠萝供应主要看菲律宾、泰国、哥斯达黎加等进口来源，以及国内合作种植/加工资源。
- 在中国一般不是“自有单一菠萝基地”，更多是产地采购、加工分选、冷链配送体系。
- 采购时要问：是菲律宾进口还是国内产？品种是金菠萝/凤梨还是普通菠萝？到货港口和分仓在哪里？

**洪九果品**
- 洪九果品总部在重庆，做进口和国产水果供应链，核心是“全球采购+国内分选仓+批发分销”。
- 菠萝/凤梨通常来自泰国、菲律宾、国内产区等，通过其在重庆、广州、上海、北京等地的分选中心和冷链仓配网络供货。
- 洪九也不是一个固定菠萝种植基地，而是多产地、多仓配的供应链平台。
- 采购时要问：具体批次是哪个国家/产区？分选仓是哪一个？能否稳定周供？规格和糖度标准是什么？

**茶饮采购建议**
1. 不要只问“基地在哪”，要问“这个SKU的产地证、加工厂、发货仓”。
2. 先锁品种和规格：如泰国小菠萝、菲律宾金菠萝、国内徐闻菠萝/凤梨，糖度、酸度、出汁率、纤维感不同，直接影响饮品风味。
3. 要求对方提供近3个月稳定供货记录和替代产地方案。
4. 都乐偏品牌化进口水果渠道，价格和稳定性通常较高；洪九偏大批量水果分销和供应链整合，适合走量但需锁定具体批次标准。
5. 想找稳定供应，除了这两家，也可同步看：产地合作社、大型果品进出口商、区域批发市场头部档口，做“双源采购”。

如果你要，我可以按“茶饮门店/工厂用量、鲜果还是冷冻果浆、全年还是旺季、预算区间”给你列一个询价清单和验厂/验货要点。
