单位采购水果到货品质不一致，核心是**把验收标准前置到合同/订单里，到货当场按标准分档取证，再按合同走补货、扣款或退货**。可以按下面几步操作：

**一、采购前先把标准写清楚**
- 明确品种、规格、单果重量/大小、成熟度、糖度（如可测）、色泽、损伤比例上限。
- 约定“不合格率”怎么算，比如：同一批次中烂果、裂果、压伤、霉变、规格不符合计超过5%即视为整批不合格。
- 写明验收时限，如到货后2小时内验收，逾期视为合格；以及售后响应时限，如24小时内补货或退款。
- 约定处理方式：补货、换货、按不合格数量扣款、整批退货，以及运费和损耗由谁承担。

**二、到货当场验收**
1. **先看整体**：数量、包装、批次、产地、温度、有无异味、明显挤压。
2. **随机抽样**：不要只翻上面一层，按上中下、里外随机抽。大批量可按比例抽，比如每100箱抽5–10箱。
3. **分档记录**：
   - 合格；
   - 轻微瑕疵但不影响使用，可协商折价；
   - 腐烂、霉变、严重压伤、规格严重不符，判不合格。
4. **拍照/视频取证**：拍外包装、批次标签、开箱全景、问题果特写、称重或测量过程，最好有连续视频。
5. **填写验收单**：写明到货时间、数量、抽样数、不合格数、不合格率、处理意见，双方签字确认。

**三、判定与处置**
- 不合格率在约定范围内：正常收货，瑕疵部分可要求折价。
- 超过约定比例：可拒收整批，或只收合格部分，不合格部分退货/补货。
- 已收货后发现内部腐烂：在约定时限内通知供应商，保留证据，要求补货或扣款。
- 涉及食品安全（霉变、异味、农药残留疑虑）：立即隔离，不得分发食用，必要时留存样品送检。

**四、售后沟通要留痕**
- 第一时间书面通知供应商，附验收单、照片、视频、数量清单。
- 明确诉求：补货数量、补货时间、退款金额、扣款金额、退货安排。
- 对方不处理时，按合同约定扣款或走平台/采购部门投诉，保留聊天记录、邮件、转账凭证。

**五、给单位的实操建议**
- 采购合同里加一条：**“验收以甲方现场抽样结果为准，不合格率超过X%的，乙方须在X小时内补货或退款。”**
- 每次采购固定验收人，最好两人以上共同验收并签字。
- 对长期供应商建立质量记录，连续不合格的降级或换供应商。
- 生鲜水果建议少量多次采购，降低一次性大批量到货的品质波动风险。

一句话：**标准写进合同，到货当场抽样取证，按不合格率分档处理，售后书面留痕。**
