针对线上水果销售最怕的坏果和口感不稳定问题，采购环节需重点做好以下四方面工作：

1. **明确分级与采收标准**  
   - 制定严格的分级制度：按大小、色泽、成熟度、无损伤等指标分级（如A级果、B级果）。  
   - 与基地约定采收标准：例如，苹果可溶性固形物≥12%、荔枝要求八成熟采摘、芒果按七至八成半熟采收等。使用手持折光仪现场检测糖度，用果实硬度计判断硬度，拒绝未达标果。

2. **冷练供应链与包装技术**  
   - 采后1小时内进入预冷环节，使用强制风冷或冰水预冷，核心温度降至品种最佳贮藏温度（如蓝莓0~1℃，猕猴桃0~2℃）。  
   - 包装时控好湿度：对易失水水果使用防雾膜+保鲜垫，对易潮水果（如水蜜桃）封箱前放气体调控包（如乙烯吸收剂）。  
   - 运输过程全程冷链监控：在纸箱内放置温湿度记录仪（如“冷云”贴片），若途中温度偏差超3℃超过2小时，拒收该批次。

3. **建立采购前检测机制**  
   - 从同一批次随机抽取5%果品做开箱检测，重点查看：  
     - 损伤率：机械伤/虫眼/软腐单箱不超2%  
     - 糖度变异系数：如同一批次绿子杏内部糖度差异超过±2度，需降级或退货。  
   - 针对敏感品种做耐贮性模拟：如将样品放入35℃恒温箱48小时，仿真快递途中高温环境，确认无腐变。

4. **上游基地管理**  
   - 要求核心基地提供最近3批次果园采收记录、肥药使用档案及冷库温控曲线。  
   - 签约前实地考察果园，重点看：  
     - 土壤类型（砂质土利于控水）、树龄（3~8年结果树品质稳定）、采摘工人指甲修剪及操作培训记录。

**执行要点**：  
- 每批次留存影像证据，扫码溯源记录从分拣到运输的全部数据。  
- 若已有历史差评案例，锁定低分产品对应的供应商，启动与履约保证金挂钩的赔偿条款（如坏果率≥5%时，供应商承担每日5‰的货值罚金）。  

**核心原则**：  
将品控前置到“田间地头”，用数据替代感性判断，把常见差评诱因（如同一箱内软硬不一、表皮淤伤比例高）在采购单上转化为可量化的**拒收条件**。
