在采购香蕉用于烘焙时，**成熟度比价格更重要**。  
理由如下：

1. **对产品品质影响直接**  
   - 香蕉蛋糕的口感、香气和甜度高度依赖香蕉的成熟度。  
   - 过生的香蕉（表皮青绿）淀粉含量高，甜味不足，烤出的蛋糕缺乏香蕉风味，甚至口感发硬。  
   - 过熟的香蕉（表皮发黑、软烂）虽然甜度高，但水分过大，可能导致蛋糕质地过湿、塌陷，且容易在搅拌时产生过多水分影响面糊结构。

2. **采购策略建议**  
   - **最佳成熟节点**：表皮出现均匀褐色斑点（约70-80%熟度）的香蕉，香气浓郁、甜度适中，且果肉不软烂。  
   - **加工时间预留**：如果计划使用前2-3天制作，可采购八成熟香蕉（略带黄绿），室温存放至理想状态。  
   - **价格权衡**：在成熟度达标的前提下，可比较不同产地或品牌的价差，但勿为节省成本购买过生或过熟批次。

3. **特殊场景例外**  
   - 如果做的是**香蕉泥**（如慕斯、酱料），可接受略熟更烂的香蕉，但需调整配方中糖分和液体含量。  
   - 若长期稳定供应，可与供应商约定“按成熟度分级采购”或签订弹性合同，避免只能用当天现货。

**总结优先级**：验收标准（成熟度） > 价格 > 供应稳定性。  
平时可小批量试做，确定本店最适合的成熟度后，再与供应商锁定规格。
