茶饮店在采购水果时，为确保食品安全、规避法律风险，**建议要求供应商提供以下证明材料**，并留存复印件存档备查：

**一、 基础资质证明（证明供应商合法经营）**
1.  **营业执照**：经营范围需包含水果销售或农产品销售。
2.  **食品经营许可证**（或食品生产许可证）：如果水果是预包装或经过分装、初加工，需要此证；如果是初级农产品且未加工，部分地区监管重点看营业执照，但索取此证更稳妥。

**二、 产品合格证明（证明水果本身安全）**
3.  **每批次出厂检验报告（或合格证）**：针对整批水果，应提供该批次对应的《产品质量检验报告》，重点指标包括农残（如多菌灵、毒死蜱等）、重金属、致病菌等。
4.  **农药残留快速检测报告**：至少要求供应商提供近期（如当月）的农残快检结果。

**三、 溯源与流通证明（证明来源可追溯）**
5.  **进货凭证/销货清单**：需载明水果名称、规格、数量、供货日期、供应商盖章签字。这是实现索证索票制度的关键。
6.  **产地证明**：若水果来自特定产地（如“赣南脐橙”），需提供产地证明或地理标志产品证书，以防冒充。

**四、 特殊品类附加证明（针对高风险水果）**
-   **进口水果**：必须提供《中华人民共和国海关进口货物报关单》和《入境货物检验检疫证明》。
-   **有机/绿色认证水果**：需提供对应的认证证书复印件（需在有效期内）。

**五、 存储与运输证明（保障冷链安全）**
7.  **运输车辆温度记录**：若使用冷链车，要求提供运输途中的温度监控记录或交货时的测温记录（尤其针对车厘子、草莓、荔枝等易腐水果）。

---

**关键操作建议（比证明更重要）：**

-   **签订合同**：在采购合同中明确写入“供应商对水果安全负全责，若因农残超标导致顾客身体损害，供应商承担全部赔偿责任”的条款。
-   **每日验收**：即使有证明，也要在到货时查验外观（腐烂变质、破损）、气味异常，并记录验收台账（日期、品种、数量、供应商、验收人签名）。
-   **留存期限**：所有供应商证明及进货凭证，至少保存**2年**（建议保存至保质期满后6个月，且不少于2年）。

**特别提醒**：如果供应商无法提供上述任何一项核心证明（尤其营业执照和批次检验报告），**建议暂停合作**，因为这可能意味着“三无产品”，一旦发生食品安全事故（如食物中毒），茶饮店将承担连带责任。
