核实供应商“全国配送”能力时，建议采取**分级核验+书面留痕**的方式，避免口头承诺。以下是具体操作步骤：

### 一、分区域、分时效实测
**1. 按“行政区域+城市层级”抽样下单测试**
   - 不要只测一线城市，至少要覆盖：
     - **一线/新一线**（验证主力仓）
     - **二线省会**（验证干线运输）
     - **三线地级市**（验证中转分拨）
     - **偏远县/乡镇**（验证末端派送，这是很多“全国配送”的盲区）
   - 建议每个层级选2-3个不同省份的城市，用小额订单（如1-2箱水果）进行实际测试，记录**从下单到签收的全程时效**。

**2. 询问“次日达”和“隔日达”的具体区域**
   - 让供应商提供**配送网络覆盖表**，标明每个省份的：
     - 省会城市是“次日达”
     - 地级市是“次日达”还是“隔日达”
     - 县级/乡镇是“2-3天”还是“3-5天”
   - 如果对方给不出分级表，只笼统说“都能送”，那说明其覆盖能力很可能没有系统化支撑。

### 二、验证冷链与损耗保障（水果的核心）
水果配送与普通快递不同，**必须冷冻车或冷藏车**。重点核实：
- **冷链物流公司名称**：要求提供合作的物流商名单（如顺丰冷运、京东冷链、德邦冷链等），然后直接打物流商客服热线，报供应商的月结账号或合同编号，确认该物流商是否确实覆盖目标区域。
- **损耗责任条款**：书面合同里必须明确：“运输途中损坏、腐烂，由供应商承担全部损失，按到货时抽检损耗率进行退款或补发”。如果供应商只口头承诺“坏果包赔”但合同不写清楚，这种覆盖能力再广也不敢用。

### 三、要求提供“历史配送记录”佐证
- **看冷链运输单**：要求供应商提供过去3个月内，发往不同省份的实际运输单据（包含订单号、目的地、始发时间、签收时间）。重点看是否有**县级市**的签收记录。
- **看退货记录**：要求提供近半年内因“配送时效超时”或“水果损坏”而收到的客诉记录。一个真正有全国能力的供应商，客诉占比一般控制在3%以下。

### 四、资金与风险测试（“先小后大”）
**分三批试单：**
- **第一批**：选择3个较偏远的城市各下一小单（金额500元以内），要求供应商按正常流程配送。
- **第二批**：如第一批全部达标，选择2个不同大区（如东北、西南）各下一单中量订单。
- **第三批**：只有前两批在“时效、损耗、售后响应”三个维度都达到合同标准，才签订长期大规模合同。

### 五、书面合同中的“硬性条款”
必须在采购合同中写入以下四条，若做不到，则默认其不具备全国配送能力：
1. **配送时效承诺**：按城市等级明确“下单后XX小时内发货，XX小时内送达”，超时按日扣减货款。
2. **温度监控凭证**：冷链运输车辆必须提供**全程温度记录仪数据**或物流APP的温度曲线截图，随货附送。
3. **坏果包赔标准**：到货后12小时内开箱抽检，损耗率超过X%（如3%）部分全部由供应商承担。
4. **跨区调拨能力**：如果某区域爆仓，供应商需有备用仓储或中转仓，并能提供备用方案证明。

### 特别提醒
- **不要轻信“覆盖全国”的文字**，很多供应商所谓的“全国跑”实际是“全国发货不包时效”，到县级市可能要4-5天，水果早已超过保鲜期。
- 最有力的核验是**让供应商发一单到你们最偏远的客户地址**，运费你们承担也行，这是成本最低的实测方式。
