看你的经营目标，但如果是超市常规鲜切/整果一起卖，**优先级建议是：切果损耗 > 甜度 > 外观 > 大小**。  
原因不是甜度不重要，而是超市卖菠萝的利润很容易被“切开后卖不掉、损耗高、投诉酸”吃掉。

具体判断可以这样排：

1. **切果损耗优先**
   - 菠萝一旦削皮、去眼、切块，货架期很短，氧化、出水、变味都快。
   - 如果出肉率低、坏果多、切后卖不动，甜度再高也容易亏。
   - 重点关注：到货成熟度是否整齐、黑心/水心比例、削皮出肉率、切果后冷藏保存时间。

2. **甜度第二**
   - 超市复购靠的是“上次买的好吃”。
   - 菠萝太生会酸、麻嘴；太熟又容易切果损耗大、发酒味。
   - 最好按用途分开：整果卖可略生一点，鲜切卖要成熟但不过熟。

3. **外观第三**
   - 外观影响顾客拿起来的第一意愿：果形端正、果眼浅、无烂斑、无裂口、冠芽新鲜。
   - 但外观不能压过损耗和口感。很多“好看”的菠萝如果出肉率低或黑心，反而亏。

4. **大小第四**
   - 大小主要影响定价和客群：小菠萝适合一人食/鲜切杯，大菠萝适合家庭整果。
   - 它不是核心质量指标，更多是销售结构问题。
   - 如果同一批大小差异太大，可以分级卖：大果整卖，小果做鲜切或促销。

**实操建议：**
- 整果区：看外观+成熟度，分级定价。
- 鲜切区：看甜度+出肉率+切后损耗，少切勤切。
- 采购验收：先测黑心/水心、出肉率、糖度，再看大小和外观。
- 如果只能选一个核心指标：**选切果损耗**，因为它直接决定毛利和报损。

一句话：**先保证切出来不亏、卖得掉，再保证好吃，最后才是好看和大小。**
