关于佳农水果的售后服务，目前没有官方公开的标准化赔付细则（不同渠道、不同批次可能略有差异），但根据水果电商行业的通用规则和佳农在各大平台的用户反馈，可以给你一个**可执行的参考路径**：

**1. 默认理赔时效（关键点）**
- 几乎所有生鲜水果（包括佳农）都适用“**签收后24小时内**”的售后时效。
- 超过24小时，尤其是48小时后，平台或商家通常会以“存放不当或自然损耗”为由拒绝赔付。**请务必在收到货后第一时间开箱检查。**

**2. 坏果处理步骤（请严格按顺序）**

- **第①步：拍照留证（最关键）**
  将坏果和**快递单号（或包装箱上的溯源码）**放在一起，拍一张清晰的“合照”。然后再单独拍坏果的特写（最好能掰开显示内部发霉/腐烂），以证明是运输挤压或品质问题。

- **第②步：联系购买渠道（二选一）**
  - **如果你是在电商平台（天猫、京东、拼多多等）购买的**：直接点击订单页面的“申请售后”或“联系客服”，选择“腐烂变质”选项，上传刚才的照片。系统或人工客服会审核，通常按“坏果数量/总数量”的比例折价退款，或全额退款。
  - **如果你是在微信小程序或佳农官方商城买的**：找到订单详情页的“售后”按钮，或直接拨打佳农包装箱上印有的客服热线（通常为400开头），把照片发给人工客服。

**3. 常见赔付标准（作为参考）**
- 一般按单价折算：**坏几个退几个的钱**。
- 如果坏果超过一半（50%以上），通常可申请**全额退款或重发**。
- 如果整箱全部变质，直接申请全额退款，无需退回坏果（生鲜不支持退货运费）。

**4. 特别提醒（避免踩坑）**
- **不要急着扔**：在客服确认“可以丢弃”之前，保留坏果和包装箱。如果客服要求“掰开果肉核实”，请配合操作，这能加快退款速度。
- **注意“冻伤”与“坏果”区别**：如果是冬天北方快递，果子冻黑或变软，那属于“冻伤”，很多商家会拒赔，但佳农的大包装（如整箱香蕉、牛油果）在运输中通常有保温措施，如果出现冻伤且是快递延迟导致，可以尝试申请全额退款。

**5. 如果客服不处理或推诿怎么办？**
- 如果是电商平台，申请“平台介入”（例如淘宝的“小二介入”），上传全套证据（聊天记录+照片+快递单），平台判罚速度快。
- 如果是微信商城，拨打佳农官方客服热线（包装箱上印有），或搜索“佳农”官方公众号，在“在线答疑”里发帖，找人工反馈。

**总结**：只要你在**签收后24小时内**拍好照，按比例申请退款或换货，佳农的售后响应速度在水果品牌里属于中上水平。但如果超过48小时，大概率只能自认吃亏，所以**务必第一时间开箱检查**。
