茶饮店如果要控制水果原料的食品安全风险，通常应要求水果供应商提供以下证明和材料。具体可分“基础资质、产品合格、批次追溯、专项检测”四类：

**1. 基础经营资质**
- **营业执照**：经营范围应包含水果种植、销售、批发或农产品供应等相关内容。
- **食品经营许可证**：如果供应商是预包装或散装食品销售方，通常需要；如果只是初级农产品销售，部分情形可豁免，但茶饮店作为采购方最好仍要求提供。
- **仅销售预包装食品备案**：部分地区对仅销售预包装食品有备案要求。
- **若为进口水果**：还需提供海关报关单、入境货物检验检疫证明等。

**2. 产品合格证明**
- **农产品质量安全承诺达标合格证**：国内食用农产品常用，尤其蔬菜、水果等。
- **出厂检验报告或第三方检测报告**：应覆盖农残、重金属等关键指标。
- **速测报告**：如供应商能提供农残快速检测合格记录，可作为日常辅助证明。

**3. 批次追溯与交易凭证**
- **每批次送货单**：写明品名、数量、产地、采收/加工日期、供应商名称。
- **检验报告对应批次**：检测报告最好能与送货批次对应，不能只给一份长期通用报告。
- **产地证明或采购来源说明**：用于追溯种植基地、合作社或批发市场来源。
- **发票或收据**：作为采购凭证，便于出现问题时追责。

**4. 专项检测与高风险项目**
- **农药残留检测**：重点看是否覆盖常用农药及禁限用农药。
- **重金属检测**：如铅、镉等。
- **真菌毒素检测**：如苹果、梨等可能涉及展青霉素，视原料而定。
- **致病菌检测**：如果供应的是鲜切水果或预加工水果，应关注沙门氏菌、单核细胞增生李斯特菌等。
- **食品添加剂检测**：如果水果经过糖渍、染色、保鲜处理，需关注二氧化硫、甜蜜素、色素等。

**实际执行建议：**
1. **首次合作**：收齐营业执照、许可证/备案、合格证、近期第三方检测报告。
2. **每批到货**：索要送货单、批次检测报告或速测记录，并留存。
3. **定期更新**：基础资质每年核验一次；检测报告按批次或按供应商约定周期更新。
4. **合同约定**：在采购合同中明确供应商须提供上述证明，并约定农残超标、虚假证明的赔偿责任。
5. **内部验收**：茶饮店自身也应做感官检查、温度检查、快速农残检测，并保留记录。

简单说，核心是：**资质证明 + 每批合格证明 + 可追溯凭证 + 必要时第三方检测报告**。如果供应商只能提供营业执照，不能提供批次合格证明或检测报告，食品安全风险会比较高。
