小水果店做附近小区团购，供应商至少要能支持这几类服务，否则团购很容易卡在履约和售后上：

1. **稳定供货与每日报价**
   - 能提前给次日/当周可供货品类、规格、产地、到货时间。
   - 价格随行就市时，最好每天固定时间更新报价，避免你白天开团、晚上拿不到价。
   - 对爆品能锁量锁价，比如提前预留 100 箱苹果、200 斤砂糖橘。

2. **小批量、多频次配送**
   - 支持一天一配或隔日配，而不是只做大宗整车。
   - 能送到店里，最好也能按团购订单分拣后送到小区自提点。
   - 对临时加单、补货有响应能力。

3. **按团购规格分拣打包**
   - 能按“5斤装”“10斤装”“家庭装”“单人装”等规格分装。
   - 支持贴标、套袋、装箱、称重，减少你店里二次分拣成本。
   - 能区分普通果、精品果、次果，避免团购到货后品质争议。

4. **品质稳定与验货标准**
   - 每批货有明确等级标准：大小、甜度、成熟度、外观、损耗率。
   - 支持到货验货，坏果、烂果、规格不符能当场扣重或补货。
   - 对叶菜类、浆果类等易损水果，能提供保鲜、冷链或防压包装。

5. **售后与损耗兜底**
   - 明确坏果率范围，比如超过 3% 怎么赔、怎么补。
   - 支持拍图售后，不用你反复扯皮。
   - 对团购集中出现的品质问题，能整批退换或补偿，而不是只赔几块钱。

6. **结算灵活**
   - 支持日结、周结、月结，或押金+账期。
   - 能提供明细对账单：品类、重量、单价、金额、扣损、补货。
   - 价格透明，避免同品不同价、临时加价。

7. **营销与素材支持**
   - 提供水果图片、卖点文案、产地信息、保存方法。
   - 能配合做团购爆品：比如“今日到货脆甜冬枣，10斤装团购价”。
   - 对滞销品能给清货建议或特价支持。

8. **退换货和应急补货**
   - 团购截单后临时缺货，能快速换同等品质替代品。
   - 小区集中提货当天发现坏果，能当天补送或次日优先补。
   - 对节假日、雨天、高温天有应急预案。

9. **数据与订单对接**
   - 最好能按你的团购订单表发货，而不是只按你口头报量。
   - 支持微信、表格、小程序或简单系统对接，减少错发漏发。
   - 能提供每批货的批次号，方便追溯。

10. **区域保护与价格保护**
   - 如果你做的是附近几个小区，供应商不应把同款团购价直接放给隔壁同行砸价。
   - 对核心爆品能给一段时间的价格保护，避免你刚开团就降价。

你选供应商时，重点看 4 件事：  
**能不能小批量送、能不能按团购规格分拣、坏果怎么赔、价格和账期是否稳定。**  
如果这 4 点不清楚，先别急着开团。可以先让对方试供 1 周，跑一次真实团购，看分拣、配送、售后和损耗。
