针对餐饮店每天少量水果的需求，建议选择以下类型的供应商，能兼顾省心与稳定：

1. **本地生鲜电商平台（如美团优选、多多买菜、每日优鲜）**：  
   - 优点：订单灵活、起送量低（每天1-2斤也可下单），次日送达，价格透明，有售后保障。  
   - 操作：提前一天下单，适合常规水果（苹果、香蕉、橙子等）。  

2. **周边社区生鲜超市、水果店**：  
   - 优点：可协商长期小批量配送（例如每天送5斤混合水果），店距离近、能临时补货，甚至可谈账期。  
   - 技巧：找生意稳的夫妻店或连锁店，直接与老板谈固定每日送，减少中间环节。  

3. **当地果蔬批发市场的“小宗档口”**：  
   - 优点：价格最低（比零售低20%-40%），部分档口愿意接每日小额订单（如每天50元起送），可自提或付少量运费。  
   - 方法：早市去问是否做“餐厅小户团购”，通常能找到稳定档口。  

4. **餐饮供应链平台（如美菜网、快驴进货）**：  
   - 优点：专为餐饮服务，可定制小份量（如每日1箱苹果+1箱柠檬），支持次日定时到店，售后规范。  
   - 注意：需提前1天确认库存，适合固定品种。  

**省心建议**：  
- **签约长期合同**：与1-2个供应商约定“每日配送固定品种+调整10%”，避免频繁比价。  
- **用每周结算**：省去每次收钱麻烦。  
- **备选方案**：留一家附近水果店应急（可加微信临时补）。  

**避免的坑**：  
- 不要找大批发市场要求“大箱起订”，会浪费且不新鲜。  
- 不要贪便宜在街边散摊买，易缺斤少两、品控不稳。  

推荐优先级：优先试附近社区超市谈配送，其次用美团优选等平台兜底。
