您好！关于佳农水果的堆头陈列和试吃支持，建议您直接联系佳农的**区域销售经理或当地经销商**，因为这是需要根据门店规模、促销档期和合作条件来具体谈的商务条款，没有统一标准。

不过，我可以给您一些**谈判和执行层面的通用建议**，帮助您更高效地沟通：

**1. 明确您的谈判筹码**
- **陈列规模**：能给出多大的堆头位置（如端架、主通道或生鲜区入口）？
- **促销档期**：是周末、节假日还是长档期（如中秋、春节）？
- **采购量预期**：预估活动期的采购吨数或销售额。
- **配合动作**：能否安排员工协助试吃、补货和卫生管理？

**2. 费用分担的常见模式（供您参考）**
- **全额品牌支持**：佳农如果目标在该区域冲销量，通常会承担堆头费用（指商超向供应商收取的陈列费/促销费）及试吃物料（果切刀、牙签、垃圾桶、试吃盒）费用。
- **我司承担物料，贵司承担陈列费**：即佳农提供试吃果品（通常由系统采购成本核销），但商超自行承担堆头位置费，这种比较常见。
- **联合投入**：双方各承担一半陈列费，佳农额外提供试吃折让或赠品。
- **纯销售返利**：不预付费用，而是在活动期内达成一定销量后，按销售额的固定百分比给予商超返利或折扣。

**3. 需要重点确认的细节**
- **试吃果品来源**：是佳农直接配送免费试吃装，还是在采购订单中按“促销损耗”扣除？通常建议以“**按预估采购量的3%-5%作为试吃损耗**”计入成本，避免现场亏损。
- **果品损耗责任**：试吃产生的分切损耗、未售完的坏果，由谁承担？建议约定“佳农按实际陈列量承担基础损耗，超出部分由商超承担”。
- **堆头费用金额**：要明确是“固定档期费”还是“按销售额抽成”，例如“档期费500元/天”或“销售额的2%”。
- **试吃人员**：佳农是否派促销员？如果不派，需要我方店员配合时，是否须额外支付服务费或由佳农提供人员补贴？

**如果沟通不畅，您可以补充以下话术：**
> “我们店位置人流很好，如果贵司能承担主要陈列费并提供试吃支持，我们可以在合约期内锁定最好的主通道位置，并且保证活动期内优先补货、免收额外进场费。希望咱们按销售返利模式测算一下合作空间。”

**建议行动步骤：**
1. 先向佳农索取**区域业务对接人联系方式**（可打佳农官方客服电话或查看包装上的400热线转销售）。
2. 准备好上述数据（堆头尺寸、预估销量、活动日期）。
3. 如果对方坚持要收费，您可以对比当地其他水果品牌（如百果园、鑫荣懋）的报价，作为谈判参考。

由于具体费用需以实际合同为准，我无法提供佳农的具体收费标准。建议您通过正式渠道联系，工作日通话效率更高。祝促销顺利！
