在超市销售菠萝时，建议按以下优先级关注，并采取可执行的操作：

**核心优先级排序：**
1. **外观与新鲜度（第一印象，决定是否购买）**  
   - 观察果皮色泽：金黄或橙黄代表成熟度较高；青绿可能未熟，但若带少量青斑且散发浓郁香气，也可能已熟。  
   - 检查果眼（菠萝表面的菱形纹）是否饱满、无干瘪或霉斑。  
   - 用手轻按果实：有轻微弹性且不下陷为佳，过硬则生，过软可能内部变质。  
   - 看顶部叶片：鲜绿且挺立为新鲜，发黄或下垂表示存放时间较长。

2. **甜度与香气（决定复购和口碑）**  
   - 可通过闻果柄或底部切口：有明显天然菠萝香气的更甜。  
   - 若无香气但外观诱人，建议向顾客说明“可放置1-2天催熟”，避免因过早食用影响体验。

3. **大小与重量（性价比感知）**  
   - 同一价格下，选择中等偏大但重量扎实的（手掂量更重者水分足，但需警惕过重可能是纤维老化）。  
   - 避免过熟后重量骤减（大量失水）的果。

4. **切果损耗（经营利润关键）**  
   - 在销售中，提供整个售卖（损耗最低）和切售服务（损耗最高）的平衡：  
     - **切果前评估**：若外表皮分布不均匀果眼（如密集且深），切剥损耗可达20%-30%，建议此类菠萝优先整果便宜卖。  
     - **切售时**：剔除发酸、软烂部分，剩余果肉净重需称重计价，避免让顾客感觉被坑。  
     - 若损耗超过25%，建议缩小切果比例，转为整果搭赠小礼品（如牙签）促销。

**执行建议（可直接操作）：**
- 到货时统一按“外观可选、甜度不可控”原则分级：  
  - **A级**（金黄饱满、香气浓）：整果高价卖，同时可提供试吃切块（小损耗）。  
  - **B级**（外观好但香气淡）：作为主力整果，突出“现切现卖”促销。  
  - **C级**（果眼深或皮色差）：整果特价或切果组合（搭配其他水果切盒）。  
- 每日统计：记录进货量、卖出整果数、切果损耗克数，连续3天计算实际损耗比，若超过15%需调价或调整切果策略。

**特殊情况提示：**  
- 若超市追求高周转率（如生鲜损耗考核严格），优先选“果眼浅、弹性适中”的品种（如金菠萝/都乐菠萝），此类损耗低于传统菠萝。  
- 若靠近节日或周末，可提前将部分菠萝去眼切块（用专用菠萝刀），用保鲜膜打包出售，损耗可控制在10%以内，但需当日清空。

最终原则：**外观决定顾客是否拿起，甜度决定是否回购，损耗决定是否赚钱**。初上市时建议以“外观+大小”优先，成熟旺季以“甜度+损耗”为主。
