目前没有可核验的公开数据能给出“佳农水果香蕉”在市场上抽检合格率的准确数字。  
这类信息通常分散在各地市场监管部门抽检通告里，且按批次、门店、产地、时间变化，不会有一个统一的“品牌合格率”。

如果你想判断或查到更可靠的信息，可以这样做：

1. **查国家及地方市场监管抽检通告**
   - 国家市场监督管理总局“食品安全抽检监测”栏目
   - 各省/市市场监管局官网、公众号
   - 搜索关键词：`佳农 香蕉 抽检`、`香蕉 不合格 通告 佳农`

2. **看具体批次，不看品牌整体**
   - 重点看：抽检时间、被抽样单位、标称生产企业、产品名称、不合格项目。
   - 如果只是某门店某批次不合格，不能直接推断整个品牌所有香蕉都不合格。

3. **香蕉常见抽检风险点**
   - 农药残留，如吡虫啉、噻虫嗪、苯醚甲环唑等；
   - 重金属，如镉、铅；
   - 保鲜/催熟相关违规使用问题相对少见，但也会被关注。

4. **消费判断建议**
   - 正规商超、生鲜平台购买的佳农香蕉，一般有较固定的供应链和检测流程，整体风险通常低于无来源散装香蕉。
   - 如果很在意，可以优先选表皮正常、无异常刺鼻气味、来源信息清晰的产品。
   - 买到后正常清洗、剥皮食用，香蕉果肉本身受表皮农残影响通常较小。

结论：**无法给出佳农香蕉市场抽检合格率的确定数值；公开信息只能按具体地区、批次和通告逐条核验。** 如果你愿意，我可以帮你整理一个查询路径模板，方便你按省市去搜抽检通告。
