判断香蕉供应商能否全年稳定供货，不能只看对方口头承诺，要从“产地结构、硬件能力、历史记录、合同约束”四个层面去验证。

**一、看产地布局，不是单一产区**

香蕉是热带作物，国内主产区包括海南、广东、广西、云南、福建，不同产区上市时间不同；进口主要来自菲律宾、厄瓜多尔、越南、柬埔寨、老挝等。

- 如果供应商只依赖一个产区，遇到台风、寒害、病害就会断供，这是最常见的风险点。
- 能全年稳定供货的供应商，通常有跨产区或“国产+进口”组合，比如海南旺季走国产，淡季从云南或东南亚补。
- 问清楚：每个月份主要从哪几个产地拿货，各占多少比例。答不上来或比例含糊的，要警惕。

**二、看硬件和加工能力**

香蕉不是摘下来直接发，需要催熟、冷链、分拣。

- 有没有自有或长期合作的催熟库、冷库？库容多大？
- 加工厂在产地还是销地？产地加工能减少运输损耗，销地催熟能灵活调节上市节奏。
- 日加工/出货能力是否覆盖你的采购量，且留有余量？如果他的产能已经被大客户占满，你旺季拿不到货。

**三、查历史履约记录**

- 要求提供过去12个月的供货记录或对账单，看有没有断供、延期、品质波动。
- 直接联系他现有客户，尤其是同区域的连锁超市，问旺季有没有掉过链子、涨价是否合理、索赔处理是否痛快。
- 有条件的话，实地看他在淡季的出货情况——淡季还能稳定出货，才说明供应链真扛得住。

**四、用合同和试单锁定**

- 合同里写明：全年分月供货量、最低保供量、断供违约责任、替代产地条款、价格调整机制。
- 不要一次性给全年大单，先做3到6个月试单，覆盖一个淡季和一个旺季，验证实际履约。
- 设定库存安全线，比如保持7到15天销量库存，同时准备一个备选供应商，哪怕只占20%份额。

**简单判断口诀**：多产地、有冷库、淡季不断、旺季不涨死价、合同敢签违约条款——满足这几条，基本可判断具备全年稳定供货能力。只靠一个产地、没有冷链、不敢签保供条款的，风险很高。
