看你的经营目标：**想减少损耗、提高毛利，优先卖整果；想提高客单价和转化，做去皮果；想省事又降低投诉，就让顾客自己挑，但规则要清楚。**

拆开说：

1. **整果**
   - 优点：损耗最低、库存好管、不用现场加工、顾客自己挑完责任清楚。
   - 缺点：客单价低，顾客嫌削皮麻烦，年轻顾客和即时消费场景不友好。
   - 适合：走量、价格敏感、水果店人手少、菠萝周转快。

2. **去皮好的**
   - 优点：方便、即买即吃，能提客单价，适合上班族、游客、社区即时消费。
   - 缺点：损耗和人工都高；削好后卖不掉只能折价或报损；卫生、冷藏、时效要求高。
   - 关键：要**限量削、分时段削**，比如按高峰前削一批，卖完再补，不要一早削一堆。
   - 适合：人流量稳定、有冷柜、能现场加工、客单价较高的门店。

3. **让顾客自己挑**
   - 优点：顾客有参与感，减少“你帮我挑的不好”的纠纷；对门店来说操作简单。
   - 缺点：翻拣会造成磕碰和损耗；成熟度不好控制；高峰时容易乱。
   - 关键：要定规则，比如“整果可挑，去皮果按份卖不挑”“轻拿轻放，损坏照价买”。

**实际建议：组合做，不要只选一种。**

- **整果区**：走量，价格牌写清楚品种、甜度、产地。
- **去皮果区**：按份卖，限量供应，冷藏陈列，标“现削，建议当天吃完”。
- **顾客自挑区**：只放整果，允许挑，但用围挡或提示牌减少翻拣。
- **促销联动**：整果便宜卖，去皮果加价卖；快熟的整果优先引导顾客现场削或折价做果切。

判断标准很简单：

- 损耗率能不能压住。
- 去皮果当天能不能卖完。
- 人工够不够。
- 顾客是图便宜还是图方便。

如果只能选一个：**社区水果店、人手一般，优先整果+顾客自挑；商圈店、年轻人多、有冷柜，重点做去皮果，但必须限量现削。**
