目前没有可核验的公开资料，能够准确说明都乐（Dole）和洪九果品针对菠萝供应的**锁价周期**。这类条款通常属于一对一商务合同内容，不对外公开，且会随品类、采购量、季节、产地和合作层级变化。

可以给你几个可操作的判断和建议：

1. **都乐**
   - 都乐中国更多是品牌化水果供应商，常见合作模式是阶段性报价、周度/月度价格调整，具体锁价要看直采合同。
   - 如果是商超、电商或餐饮连锁大客户，通常可以谈**月度锁价**或**产季锁价**，但菠萝受季节和产地切换影响大，长期锁价难度较高。

2. **洪九果品**
   - 洪九果品是国内较大的水果分销商，菠萝是其重要品类之一。其公开信息更多集中在渠道、品牌和供应链，未披露具体锁价周期。
   - 实际业务中，洪九更可能采用**阶段性锁价**，例如按周、按半月或按月，具体取决于产地、规格、采购量和是否包销。

3. **行业常见锁价周期参考**
   - 批发/流通端：**3—7天**较常见。
   - 商超/电商稳定采购：**15天—1个月**。
   - 产季包销或大客户定制：可能谈到**1个产季**，但通常会设置价格调整机制。
   - 进口菠萝因船期、汇率、关税影响，锁价周期往往更短。

4. **建议你直接问供应商这几个问题**
   - 锁价是按周、半月、月，还是按产季？
   - 锁价是否含运费、关税、损耗？
   - 规格、糖度、单果重是否写进合同？
   - 超出锁价期后，调价依据是什么？
   - 是否接受部分锁价、部分随行就市？
   - 违约或延迟发货时怎么处理？

如果你需要，我可以帮你整理一份**向都乐、洪九或其他菠萝供应商询价时的锁价条款模板**，方便直接发给对方谈。
