采购香蕉控制熟度非常重要，直接影响成品口感和外观。以下是针对不同用途的具体建议：

1. **明确需求定标准**：根据饮品或甜品用途选择熟度。
   - **做冰沙/奶昔**：选择**完全成熟**的香蕉（皮上出现黑点、手感微软、香味浓郁），这类香蕉糖分高、淀粉已转化为果糖，打出的饮品更甜、更顺滑，无需额外加糖。
   - **做装饰/切片/果昔碗**：选择**7-8分熟**（皮色金黄、部分带绿头、手感坚实），切片后不易变色、较挺立，摆盘美观。
   - **做烘焙/打成泥**：可用**过熟香蕉**（皮全黑、果肉软烂），甜度极高、易捣碎，适合做蛋糕、松饼添加风味。

2. **分批次到货**：与供应商协商**梯次发货**。例如每周到货2次，一半为青转黄（5-6分熟，可储3-5天），一半为金黄（8-9分熟，2天内使用）。避免一次全熟或全生。

3. **验收检查表**：
   - **外观**：整体黄绿色均匀，无明显撞击、水渍或霉斑。
   - **手感**：选1-2根轻轻捏两端，硬实为生，微弹有软感为合适，一按凹陷为过熟。
   - **气味**：熟透香蕉有浓郁果香；酒精味或酸味表示已发酵，不能要。
   - **重量**：同样大小买更沉的，说明水分足、饱满。

4. **控制后熟速度**：
   - **催熟**：将青香蕉放在纸箱内，加入一个苹果或番茄（释放乙烯），室温20-25℃可加速成熟（约1-2天）。
   - **延缓**：已成熟但未用掉的香蕉，放入冰箱冷藏（皮会变黑但果肉可多保存2-3天），或剥皮后密封冷冻（用于冰沙，保质期1个月）。

5. **损耗预判**：每天按预估销量多备10%-15%的熟度微调空间。如果当天剩余未使用香蕉，可根据熟度临时改做午餐员工餐（如香蕉煎饼），减少浪费。

总之，第一次大批量采购时，建议小量试2周，记录哪天到货对应哪些产品卖得好，这样能精准锁定所需的熟度标准。
