酒店采购水果盘原料时，供应商应至少保证以下**规格标准**和**外观标准**，确保成品符合高端餐饮的展示与食用要求：

---

### 一、规格标准（可量化与执行）
1. **大小均匀**  
   - 每批次水果大小应一致，例如草莓单果重约20-30克，蓝莓直径不低于12mm，猕猴桃横切面直径≥5cm。  
   - 供应商需提供“每公斤/每箱果数量范围”，偏差不超过±10%。

2. **成熟度分级明确**  
   - 标注“即食期”或“后熟期”两种供货状态，即食水果糖度需达标（如芒果糖度≥14°Brix，西瓜糖度≥11°Brix）。  
   - 避免过度成熟导致软化、褐变，或未熟导致酸涩。

3. **无机械损伤**  
   - 无压痕、碰伤、划伤、裂口，果柄长度统一（如葡萄留柄≥5mm），切面类水果（如西瓜、哈密瓜）必须为当日新鲜切割。

4. **包装与冷链规格**  
   - 提供食品级托盘/保鲜膜/冰袋，运输全程0-4℃冷链，到店中心温度≤5℃。  
   - 每箱注明采收日期、产地、保质期（建议到货后至少可保鲜48小时）。

---

### 二、外观标准（可目视判定）
1. **色泽自然鲜艳**  
   - 火龙果表皮鲜红、鳞片翠绿；草莓通体亮红无白尖；橙子皮色均匀，无暗斑或褐点。  
   - 不允许使用着色剂或人工打蜡（需提供农残检测报告）。

2. **形态完整无畸形**  
   - 无明显歪扭、凸起或凹陷，果形符合品种特征（如苹果应为端正圆形，非不规则扁圆）。  
   - 无冻伤、日灼、虫眼、病斑。

3. **表面洁净干燥**  
   - 无泥土、灰尘、蜡质残留或水分（避免加速霉变），果梗周边无霉菌孢子点。

4. **切面水果附加标准**  
   - 切开的西瓜果肉必须红艳、籽黑、无空心裂籽；哈密瓜果肉橙黄透明，无白斑或水渍化。

---

### 三、建议写入采购合同的验收条款
- 到货时“双随机”抽检：随机抽3盒（箱），若1盒不合格则整批拒收。  
- 对供应商实施“每月红黑榜”，连续两次外观投诉即取消合作资格。  
- 明确赔偿标准：因外观缺陷导致的报废，按到货价200%赔偿或免费换新。

---

**小提示**：若酒店主打高端自助餐或宴会水果盘，可要求供应商提供“特级果”等级（参照GB/T 10651-2008或等同企业标准），并在交货时附上当日“果品质量检验合格单”。如无标准可依，以上条款已足以形成法律约束力。
