超市采购水果时，供应商通常需要提供的检测报告或进货证明，主要取决于**水果品类、是否进口、超市自身风控要求、当地市场监管要求**。实务里一般分成下面几类：

1. **营业执照、食品经营许可证/食品生产许可证**
   - 证明供应商有合法经营资质。
   - 如果是农产品合作社或个体种植户，可能提供营业执照、合作社登记证、产地证明等。

2. **进货凭证/购销凭证**
   - 发票、送货单、销售单、收据、采购合同等。
   - 用于证明来源合法、可追溯。
   - 超市通常要求“票、货、账”一致。

3. **产地证明或供货证明**
   - 常见于国产水果。
   - 如产地证明、基地证明、合作社供货证明、收购凭证。
   - 对散户收购的水果，部分超市会要求提供收购记录和产地信息。

4. **食用农产品合格证**
   - 这是现在比较常见的一项。
   - 供应商或产地出具，承诺农产品符合质量安全要求。
   - 很多超市会把“合格证+进货凭证”作为基础索证索票材料。

5. **农药残留检测报告**
   - 这是水果采购里最核心的检测之一。
   - 可以是供应商自检报告、第三方检测报告，或批发市场/配送中心的快检报告。
   - 常见检测项目：有机磷、氨基甲酸酯类等农残。
   - 超市一般要求批次对应，不能一份报告长期通用。

6. **第三方权威检测报告**
   - 如 CMA/CNAS 资质机构出具的报告。
   - 项目可能包括：
     - 农药残留
     - 重金属（铅、镉等）
     - 真菌毒素（如某些干果、坚果类）
     - 食品添加剂（如保鲜、打蜡、染色等违规使用）
     - 微生物（预切水果、鲜切水果更常见）
   - 通常按品种、批次或年度提供。

7. **进口水果所需材料**
   - 海关入境货物检验检疫证明。
   - 报关单。
   - 入境货物通关单/检验检疫证明。
   - 中文标签或标签备案资料。
   - 输出国或地区出具的植物检疫证书。
   - 有些还需提供原产地证。

8. **特殊品类额外材料**
   - **鲜切水果**：可能按即食食品管理，要求更严，需微生物检测、生产许可、冷链证明等。
   - **有机水果**：有机产品认证证书。
   - **绿色食品/地理标志产品**：相应认证证书。
   - **转基因水果**：相关审批或标识证明（如适用）。

9. **超市通常的索证索票要求**
   - 供应商资质：营业执照、许可证。
   - 每批次：送货单、合格证、检测报告或快检记录。
   - 进口：检验检疫证明、报关单。
   - 建立进货台账，保存期限一般不少于产品保质期满后6个月；没有明确保质期的，不少于2年。

**简单判断标准：**
- 国产普通水果：营业执照 + 食品经营许可证 + 食用农产品合格证 + 进货凭证 + 农残检测报告/快检记录。
- 进口水果：上述基础上再加海关检验检疫证明、报关单、中文标签等。
- 鲜切水果：还要按即食食品要求，增加生产许可、微生物检测、冷链记录等。

如果你是供应商，最稳妥的做法是：**提前问清超市品控或采购部门的具体索证清单**，因为不同超市、不同地区要求差异很大。
