生鲜电商水果出现坏果，责任划分通常涉及以下几个方面，具体取决于实际情况：

1. **运输过程的责任**：
   - 如果坏果是因物流配送过程中的挤压、碰撞或温度不当导致，责任主要在于物流方。电商平台需向物流公司追责，但消费者可直接向电商平台索赔。
   - 若商品在运输前已存在质量问题（如内部损坏、腐烂），则责任在发货方（电商或供应商）。

2. **包装与发货责任**：
   - 若电商未使用适当包装（如防震、保温、透气等）导致水果受损，责任归属电商平台或其仓库。
   - 若发货时未按标准检查水果成熟度或新鲜度，或发货前已存在轻微问题（如软斑、轻微碰伤），责任在发货方。

3. **消费者收货后的责任**：
   - 消费者签收后，若未及时开箱检查或长时间未冷藏保存导致坏果（例如，签收后超过24小时再提出），部分责任可能归消费者。
   - 多数电商平台允许“收货后24小时内”或“签收时开箱验货”作为索赔条件，超过时限可能无法全额理赔。

4. **不可抗力因素**：
   - 如遭遇极端天气、物流延误超出正常范围（需提前说明），责任可能部分转移，但电商通常需提供补偿方案。

**建议处理方式**：
- **对消费者**：第一时间拍照留存证据（坏果照片、快递单号、完整包装图），联系电商客服索赔。多数平台承诺“坏果包赔”或“按比例退款”。若对方拖延，可要求升级处理或投诉至12315。
- **对电商平台**：建立清晰的“坏果率”标准（如坏果超30%全额退款，低于30%按比例补偿）；与物流公司明确责任条款；消费者签收后设定合理的申诉时效（如24小时）。
- **风险分担**：部分电商会引入“生鲜保险”或“破损险”作为风险转移手段。

**责任划分总原则**：  
根据《消费者权益保护法》及网络交易规定，消费者有权要求商家提供合格商品。通常，**发货后的运输风险由商家承担**（除非消费者指定第三方非标准物流）。因此，绝大多数情况下，**坏果责任应归属电商平台**，由其向物流或供应商追偿。消费者只需证明坏果存在且未超过时效即可获得售后。
