佳农有面向便利店/小业态的小规格包装，但具体到“3kg装香蕉”这个规格，需要看你们当地经销商的供货清单才能确认，我无法直接替佳农官方确认某个SKU一定存在。

可以按这个思路推进：

1. **先明确佳农的常见小包装方向**
   - 香蕉：常见有单根/小把装、1kg左右、2kg左右、3kg左右等不同规格，不同区域和渠道会有差异。
   - 其他水果：苹果、橙子、猕猴桃等也常有小箱装、袋装、礼盒小规格。
   - 但“3kg香蕉”不是全国统一固定规格，更多是区域经销商根据渠道定制的。

2. **直接问经销商这三个问题**
   - 有没有适合便利店的小包装SKU清单？请发规格、克重、箱规、保质期、建议零售价。
   - 香蕉有没有2kg/3kg或小把装？起订量多少？能不能混搭？
   - 配送频率怎样？是日配还是隔日配？损耗谁承担？

3. **小门店更建议的选品策略**
   - 香蕉优先选：小把装或2-3kg小箱，避免大箱压货。
   - 搭配佳农其他耐放单品：如苹果、橙子、猕猴桃小包装，降低损耗。
   - 先试销1-2个SKU，不要一次上太多，观察7天动销和损耗再扩品。

4. **如果当地没有3kg香蕉**
   - 可以让经销商申请区域定制小规格。
   - 或者先上佳农其他小包装水果，香蕉暂时用本地批发市场小把装补充。

建议你直接联系佳农当地经销商或区域业务，索要“便利店渠道小包装SKU表”，这是最快能确认3kg香蕉有没有的方式。
