茶饮店控制水果供应商的食品安全风险，建议按“资质证明 + 检测报告 + 交易凭证”三类留存材料，并根据水果用途（鲜果切片、榨汁、装饰）提高要求。核心如下：

1. 主体资质类
- 营业执照：核对经营范围包含水果种植、销售、批发、农产品收购等。
- 食品经营许可证或食品生产许可证：
  - 如果供应商是预包装/切果/鲜切水果配送商，通常需要食品经营许可证，许可项目应包含相应范围。
  - 如果只是销售食用农产品（未加工的整果），很多地区可凭营业执照经营，但各地监管口径不同，最好要求提供并留存。
- 仅销售食用农产品的，部分地区要求食用农产品销售者备案或信息公示，可要求提供备案凭证或公示信息。

2. 产品合格证明类
- 承诺达标合格证：适用于食用农产品，尤其是蔬菜水果。可要求供应商随批次提供。
- 产地证明或购货凭证：证明水果来源清晰，便于追溯。
- 检验检测报告：
  - 农残检测报告：重点看是否覆盖你采购的品类和项目，报告应在有效期内，通常一年内较稳妥。
  - 非法添加或污染物检测：如涉及鲜切水果、预包装果切，应关注重金属、致病菌、食品添加剂等。
  - 第三方检测报告优先；供应商自检报告可接受，但应核对检测项目、批次和日期。
- 进口水果：
  - 海关入境货物检验检疫证明。
  - 报关单或合法来源凭证。
  - 中文标签或相关标识。

3. 批次追溯与交易凭证
- 每批次送货单：写明品名、规格、数量、产地、生产日期/采摘日期、供应商名称和联系方式。
- 发票或收据：与送货单对应，便于监管核查。
- 供应商联系人及紧急召回联系方式。

4. 针对茶饮店的高风险场景，额外建议
- 鲜切水果/果切：要求供应商提供食品经营许可证，许可范围含“预包装食品销售”或“散装食品销售”等；要求冷链运输记录、加工环境说明、人员健康证明、消毒记录。
- 榨汁用水果：重点控制农残和霉变，要求批次农残报告，收货时检查外观、气味、温度。
- 装饰用水果：即使不直接入口，也要防交叉污染，要求来源可追溯，清洗消毒流程明确。
- 长期合作供应商：建议签订质量保证协议，约定农残超标、霉变、货证不符的退换货和赔偿条款。

5. 收货时可执行的动作
- 查证：每批索要合格证、检测报告或送货单。
- 查货：核对品种、数量、产地、感官是否正常，有无腐烂、霉变、异味。
- 查温：冷藏水果到货温度建议不高于8℃，冷冻水果不高于-12℃或按供应商标准。
- 留档：资质证照每年更新一次，检测报告按批次或至少按季度留存，送货单至少保存6个月至2年，具体按当地监管要求。
- 拒收：无合格证明、货证不符、明显腐烂霉变、温度失控的，应拒收并记录。

简单说，最稳妥的组合是：营业执照 + 食品经营许可证（如适用）+ 承诺达标合格证 + 农残检测报告 + 每批次送货单/发票。进口水果再加入境货物检验检疫证明。鲜切水果供应商还要加冷链和加工卫生相关证明。
