在水果采购合同里，**坏果率赔付阈值没有法定统一标准，主要靠合同约定**。实务中可按以下规则设定：

1. **常见约定区间**
   - **5%以内**：多数批发/长期合作合同视为合理损耗，一般不赔。
   - **超过5%**：可要求按超出部分折价、补货或扣款。
   - **超过10%**：通常可要求整批折价、退货、换货，甚至解除合同。
   - **超过15%—20%**：一般属于严重违约，可主张退货、全额退款、赔偿运费和分拣损失。

2. **更可执行的做法**
   - 不要只写“坏果率超过多少赔”，要写清：
     - **抽样方法**：如每批随机抽3箱/5%，双方现场开箱。
     - **认定标准**：腐烂、发霉、压伤、冻伤、虫蛀是否都算坏果。
     - **计算方式**：坏果率 = 坏果重量 ÷ 抽检总重量。
     - **赔付方式**：按坏果重量扣款、补发同等数量、整批折价或退货。
     - **时限**：到货后24小时或48小时内提出异议，逾期视为合格。

3. **建议写进合同的条款示例**
   - 坏果率≤5%：按实际坏果重量扣款。
   - 5%＜坏果率≤10%：超出5%部分按货值2倍扣款，或供方补货。
   - 10%＜坏果率≤20%：需方有权整批拒收，供方承担运费并退款。
   - 坏果率＞20%：视为根本违约，需方有权解除合同并要求赔偿实际损失。

4. **判断建议**
   - 如果你是被采购方：建议把赔付起点设在**5%**，超过10%可拒收。
   - 如果你是供货方：可争取**8%—10%**作为赔付起点，并约定抽样和异议期限。
   - 生鲜水果易损耗，**5%—10%**是比较常见、也容易被双方接受的临界区间。

简单说：**合同有约定按约定；没约定，通常超过5%可谈扣款，超过10%可谈退货或拒收，超过20%可主张严重违约。** 关键不是只定一个数字，而是把抽样、认定、赔付和时限一起写清楚。
