针对超市水果区提高客单价，基于香蕉、菠萝、苹果三款常见水果的特性，建议采用**“家庭组合套餐”**或**“时令搭配”**策略。以下为三种可执行方案：

### 方案一：家庭健康套餐（适合周末促销）
- **组合内容**：1串香蕉（约500g） + 1个菠萝（约1kg） + 4个苹果（约500g）。
- **定价策略**：原价总和约25-30元，套餐定价18-20元（即约7折），重点突出**“一日一果，全家共享”**。
- **理由**：香蕉和苹果为高频消费品，菠萝增加新鲜感；组合后客单价从单一水果的5-10元提升至18-20元。
- **陈列建议**：放在主通道端架，用竹篮或藤编筐装好，配健康贴士标签。

### 方案二：减脂能量包（针对年轻上班族）
- **组合内容**：1根香蕉（小份） + 1/4切好的菠萝 + 2个苹果。
- **定价策略**：单买总计约15元，组合价12元，并附赠即食燕麦片小包（成本0.3元）。
- **理由**：香蕉提供能量，苹果低糖，菠萝助消化；适合运动前后或代餐场景。
- **执行细节**：使用透明塑料碗或用皮筋捆扎，放在冷柜或收银台旁，便于即拿即走。

### 方案三：“一果多吃”创意组合（提升关联购买）
- **组合内容**：2个菠萝 + 3个苹果 + 1把香蕉，并提供食谱卡片（如菠萝炒饭、苹果沙拉、香蕉松饼）。
- **定价策略**：原价约35元，组合价28元，同时附赠**优惠券**：购买组合后，下次满30元减3元。
- **理由**：通过“加工”场景延长使用周期，提升复购率；菠萝和苹果耐放，香蕉尽快食用，形成消费节奏。
- **库存与损耗控制**：菠萝切皮后保鲜膜包裹，苹果打蜡类可选红富士，香蕉选择半熟度以减少过夜损耗。

### 附加建议：如何避免亏损？
1. **香蕉作为引流品**：香蕉是水果区毛利最低（通常15-20%），但带动销量；菠萝和苹果毛利较高（25-35%）。组合中香蕉数量最少（1根或半串），菠萝和苹果占体积。
2. **切分销售**：对于成串香蕉，可主动拆成3-5根一组，降低顾客一次性付款的心理压力。
3. **时效化**：周末放量，周一至周三尝试小份组合；如果菠萝未切好，可提供“免费切块”服务，提升附加值。

### 预期效果预估
- 客单价：从单一水果购物篮的8-10元→组合后的18-28元。
- 毛利率：组合整体控制在22-28%，略高于单品，但通过减少临期损耗（如菠萝降价）来平衡。
- 试推行建议：选取1-2个促销端架，搭配“限时2天”或“限量100份”标签测试3天，观察复购率。
