很抱歉，我无法提供“佳农水果”针对年采购量1000吨以上客户的具体优惠政策，因为这类信息通常属于企业内部商业政策，且会随时间、市场环境及合作细节（如付款方式、合作年限、具体品类等）调整。不同区域或销售渠道的条款也可能不同。

**建议您采取以下具体行动：**

1. **直接联系佳农水果的官方销售或大客户部门**  
   - 拨打佳农水果官方客服热线或通过官网（www.goodfarmer.com）获取大客户经理联系方式。
   - 明确告知年采购量1000吨以上的需求，询问**阶梯价格折扣、账期支持、物流补贴、定制包装、新品优先供应、市场推广支持**等具体条款。

2. **提供合作背景以争取更佳条件**  
   - 说明您的采购用途（如连锁商超、批发市场、食品加工企业），以及是否可签订长期框架协议、是否提供预付款或信用证。
   - 例如：“我们是一家全国连锁生鲜超市，年需佳农香蕉/火龙果等品类合计1200吨，可签订3年长期合同，是否可享受xxx元/吨的优惠及每月30天账期？”

3. **参考行业常见政策范围**  
   - 国内大型水果供应商针对万吨级客户，通常给予**5%-15%的价差优惠**，或**免收部分物流费**。但需通过谈判确认。

4. **留意合同细节**  
   - 关注条款中的**质量索赔标准、损耗率分摊、提货周期灵活性、汇率波动应对机制**等。

**总结：** 建议您尽快通过官方渠道获取书面报价，同时准备好贵公司的采购计划、资质及银行信用证明，这将有助于直接进入谈判阶段。
