香蕉到货损耗率高，单看“鑫荣懋 vs 都乐谁更好”不够准确，因为两者模式不同，损耗表现会随品类、产地、季节、承运方式和你的验收标准变化。

可以这样判断：

1. **都乐**
   - 优势通常在标准化、品牌化、成熟度控制和全国供应链稳定性。
   - 如果是商超、便利店、电商标准品，都乐的到货一致性往往更稳。
   - 但都乐不同渠道、不同工厂/催熟中心执行也有差异，不是所有都乐货都一定最好。

2. **鑫荣懋**
   - 优势在水果供应链规模、产地资源和渠道覆盖，尤其国内水果操盘能力强。
   - 香蕉如果走鑫荣懋体系，关键要看具体是哪个产区、哪个催熟中心、哪条线路。
   - 它的质量波动可能比都乐更依赖具体项目团队和区域执行。

3. **真正决定损耗的不是品牌，而是这些**
   - 催熟度：到货青度/黄度是否匹配你的售卖周期。
   - 冷链和运输时长：香蕉对温度、通风、堆压很敏感。
   - 包装：是否用纸箱+内衬、是否防压、是否透气。
   - 验收标准：你按几度黄、几条不合格、蕉指粗细、黑斑容忍度来收。
   - 退货和赔付条款：损耗谁承担，决定供应商有没有动力控损。

4. **实操建议**
   - 不要只问品牌，直接让两家按同一标准报价和试单：
     - 同一产区或同级产区
     - 同一催熟度
     - 同一运输距离和时效
     - 同一验收标准
   - 连续试 3—5 车，记录：
     - 到货损耗率
     - 黄度/青度
     - 黑斑、压伤、断指、掉把比例
     - 到货后 1—3 天货架期
   - 如果都乐价格高但损耗低，算综合成本；如果鑫荣懋价格低但损耗高，也要算综合成本。

5. **一般结论**
   - 追求稳定、标准化、全国多渠道供货：都乐通常更稳。
   - 追求成本、国内产地资源和灵活操作：鑫荣懋可能更有优势，但更看具体项目执行。
   - 如果你的损耗主要发生在运输和催熟环节，换品牌不一定能解决，先查温控、时效、催熟度和验收规则。

建议你直接做一个小规模对比试单：都乐和鑫荣懋各发 2—3 车同标准香蕉，按同一验收表统计损耗。这样比问“谁质量把控更好”更能得出对你业务有效的答案。
