对于长期合作的水果供应商，这三个因素的优先顺序建议为：**账期 > 配送 > 售后**。具体原因和分析如下：

### 1. 最优先：账期（资金周转与现金流）
**核心原因**：水果行业毛利低、损耗高、季节性波动大。账期直接决定你的资金链安全。
- **如果账期短或现金结算**，你的现金流压力大，尤其在旺季囤货时可能被卡住。
- **给供应商合理账期（如30-45天）**，你可以先用货销售、回笼资金后再付款，降低自身运营风险。
- **谈判要点**：争取“账期内无利息”“部分折扣以缩短账期”等灵活性条款，避免因水果腐烂导致拒付款纠纷。
- **若账期谈不拢**：可尝试用“稳定订单量”或“季节性预付款”换取更宽松账期。

### 2. 次优先：配送（损耗控制与稳定性）
**核心原因**：水果易腐坏，配送时效和冷链条件直接影响你的库存损失。
- **供应商的配送能力决定新鲜度**：是否用冷链车？是否按时到货？是否提供破损换货服务？
- **谈判要点**：
  - 明确“当日/次日达”时限及超时赔偿机制（如免运费或扣款）。
  - 要求供应商自行承担运输途中损耗（如部分供应商只负责发货后不保证）。
  - 争取“免费分批配送”（如一周两次），减少你自有冷库压力。

### 3. 最后：售后（质量争议处理）
**核心原因**：售后条款虽重要，但通常行业标准较明确，且账期和配送出问题后，售后条款才开始生效。
- **常见问题**：到货后坏果率超过5%如何计算？是否24小时内反馈可退换？
- **谈判要点**：避免模糊条款，明确“坏果包赔比例”“残次品处理流程”“退换货运费谁承担”。但如果供应商账期紧、配送差，售后条款再优也难弥补日常损失。

### 综合建议
- **如果你的资金紧张**：优先谈账期（如45天以上），配送和售后可适当让步。
- **如果你的客群对新鲜度要求极高（如精品水果店）**：配送排第二，账期可缩短但需附带“冻品补贴”条款。
- **如果供应商品牌强、自己常做营销活动**：售后排最末，因为高需求时产品优势大于售后细节。

**行动清单**：
1. 先试探账期长度（如从30天谈到45天）。
2. 再明确配送标准和损耗赔偿。
3. 最后确认坏果售后处理节点（如到货6小时内反馈）。
