针对超市水果到货品相不好的售后问题，建议按以下流程约定，确保权责清晰、操作可执行：

1. **到货检查与拒收**  
   - 收货时立即开箱检查，若品相问题超过约定比例（如：腐烂、疤痕超过5%），可当场拒收。  
   - 拍照或录像存证，并通知供应商，要求换货或取消订单。

2. **签收后问题处理**  
   - 若问题在签收后24小时内发现（如事后开箱发现内部腐烂），超比例部分按“实收数量”计算。  
   - 约定由超市方负责举证（提供照片、视频），供应商根据问题比例补发或退款。

3. **金额与换货约定**  
   - 轻微品相问题（如局部压痕、轻微斑点）：可按折扣处理，双方协商一个比例（如8折结算）。  
   - 严重问题（一半以上腐烂）：直接要求整箱换货或全额退款，供应商承担运费。

4. **时间限定与处罚**  
   - 供应商需在验收反馈后48小时内回应（补发货或退款）。  
   - 逾期未处理，超市有权按货物价值的10%扣款或从后续货款中直接冲抵。

5. **合同条款示例**  
   “水果验收标准：品相完好率≥95%，腐烂、严重擦伤、霉变不计入合格品。收货后24小时内可申请售后，超时视为验收合格。售后响应时间不超过48小时，逾期每日加收0.5%违约金。”
