对于首次合作的水果供应商，小批量试单的核心目标是**验证品质稳定性、供应商履约能力、物流损耗控制及账期配合度**。以下是具体的试单设计流程与关键点：

### 1. 明确试单边界
- **品种**：只选1-2个核心/当季品种，避免多品类。
- **数量**：控制在供应商最小起订量的**1-2倍**（如起订500斤，试单订800-1000斤），或按3-5天销售周期定量。
- **金额**：总金额不超过月均采购预算的10%-20%，降低资金风险。

### 2. 合同与条款设计
- **付款方式**：建议**至少30%预付+70%货到验货后1-3日内结清**，或全程走担保交易（如货款托管）。避免全款预付。
- **退换货条件**：明确“常见品质问题”范围（如撞伤、霉变、规格偏差超10%），并约定**100%退款或换货**，且由供应商承担退回运费。
- **快递与损耗率**：要求供应商投保运输险；约定**完好率≥95%**，如损耗超出则按比例补偿（例如扣减货款）。

### 3. 货物验收流程（重中之重）
- **到货当天当场拆封**：检查外包装（有无水渍、挤压）、内部温度（冷链水果需≤8℃）。
- **逐箱开箱抽检**：每批次抽检占比≥30%（整箱开箱查看），重点看：
  - 果面：无机械损伤、腐烂、霉变
  - 成熟度：按约定标准（如香蕉6-7成熟）
  - 重量/个数：单果或整箱实际重量与标称偏差≤3%
- **拍照/录像留证**：对异常情况（如包装破损、腐烂果）立即由双方签字确认，并上传平台存档。

### 4. 物流与时效确认
- **发货时间**：要求供应商**1-2天内内发出**（精品水果建议“夕发朝至”）。
- **运输方式**：顺丰冷链、跨越冷链等可追踪的快递。
- **止损条款**：如超48小时未收单，可全额退款或减免30%货款。

### 5. 账期建议
- 首次：仅接受**款到发货**或**货到验收后3天内结清**。
- 若供应商坚持账期：可博弈“30天账期+提供押金（如总金额10%）”，或在合同中加入“**账期取消权**”：如出现一次品质问题，立即转为现金交易。

### 6. 小步快跑策略
- **试单周期**：控制在1-2周内完成下单→收货→销售→反馈全流程。
- **复购标准**：若试单品：
  - 品质：连续两次到货合格率≥90%
  - 服务：售后处理≤24小时
  - 时效：99%单次准时
  → 可进入第二轮中等批量试单（数量翻倍，但保持10%保证金）。
- **风险终止**：任一品种出现**批次性腐烂/重量缺斤**（如单箱腐烂超5%）或**不配合退款**，立即终止合作。

### 7. 沟通与备选方案
- **前置沟通清单**：
  - 确认供应商是否有实体果品市场档口（宜）。
  - 要求提供《食品经营许可证》及现有客户的试单比例。
- **替代方案**：若供应商规模较小，可要求其提供**农户直采证明**或**近期第三方质检报告**（如SGS、中检），减少信息差。

### 总结检查表
试单结束后，应在Excel或供应链系统中记录：
- 实际损耗率（%）
- 售后响应时间（小时）
- 是否主动承担运费
- 是否按承诺发货时间到货

第一单不必急于求成，只要供应商在“品质”和“态度”上达标（尤其是瑕疵处理不推诿），即为良好开始。
