除了都乐，国内菠萝/凤梨市场上比较常见、且通常有相对稳定供应链的品牌和渠道商主要有这些：

**国际/大型水果品牌**
- **佳农**：国内水果供应链大厂，菠萝、凤梨常年有货，商超和批发渠道覆盖广。
- **鑫荣懋**：旗下有水果品牌运营，菠萝类产品在商超、电商渠道比较常见。
- **百果园**：自有渠道为主，也会做产地直采，稳定供应取决于门店和季节。
- **鲜丰水果**：类似百果园，连锁渠道内供应相对稳定。
- **洪九果品**：做进口和国产水果供应链，菠萝类有涉及。

**产地/区域品牌**
- **徐闻菠萝**：广东徐闻是国产菠萝主产区，当地有区域公用品牌，旺季供应量大，但季节性明显。
- **海南凤梨/金钻凤梨**：海南产区的凤梨品牌较多，如一些地方龙头企业，稳定供应集中在上市季。
- **台湾凤梨**：过去有较高认知，但受政策和贸易因素影响，目前渠道稳定性不如以前。

**电商/零售自有品牌**
- **盒马**：有自有或合作直采的凤梨/菠萝，供应相对稳定。
- **叮咚买菜**：有产地直采产品，稳定性和季节相关。
- **永辉、大润发等商超**：通常有合作供应商，品牌不固定，但渠道本身能持续供货。

**判断稳定供应的几个点**
1. **看是国产还是进口**：都乐、佳农等更多做进口或全球化供应链；徐闻、海南更多是国产季节性供应。
2. **看渠道**：商超、电商自营通常比批发市场更稳定，因为有大仓和合同供应。
3. **看季节**：国产菠萝集中在春夏季，进口菠萝全年相对更稳。
4. **看品种**：凤梨（如金钻、甜蜜蜜）和传统菠萝供应链不同，品牌也不同。

如果你是要做长期采购或渠道供货，建议直接对接**佳农、鑫荣懋、洪九**这类供应链公司，或者找**徐闻、海南产地的大型合作社/龙头企业**，比只认品牌更稳。
