在单位采购水果验收和售后时，可以按以下步骤操作，确保公正、高效：

### 验收环节
1. **明确标准**：采购前合同或协议中应明确水果的品种、规格（如大小、重量）、成熟度、新鲜度、无腐烂、无病虫害等具体标准。建议附上样品照片或实物。
2. **抽样检查**：到货后，随机抽取至少10%-20%的整箱水果进行开箱检查。重点观察色泽、硬度、气味、果面完整性。如有坏果、过熟、大小不达标，记录数量及比例。
3. **称重复核**：随机称重2-3箱，核对是否达到约定净重（如每箱5公斤），允许合理误差（如±0.1公斤）。
4. **拍照留证**：对整批货物、开箱情况、异常果实分别拍照或录像，尤其标出问题部位和批次。
5. **填写验收单**：记录实收数量、质量情况、是否拒收或暂收，由双方签字确认。

### 售后处理
1. **现场即时处理**：若验收时发现明显品质不符（如大量腐烂、规格严重不符），当场拍照后直接拒收整批，要求供应商立即更换合格产品。若部分不达标，可与供应商协商扣减、降价或换货。
2. **协商与记录**：无法当场解决的，将验收单、照片发至供应商指定客服，说明问题批次、数量、具体瑕疵（如坏果率约5%）。通常售后标准为：腐烂、霉变、严重机械损伤等，按个数或重量补偿或退款。
3. **补发或退款**：确认后，供应商应在1-2个工作日内补发合格水果，或按实际损失金额退款（如坏果单价×数量×2倍）。若供应商拖延，可依据合同约定条款或消费者权益保护法主张权益。
4. **保留沟通记录**：保留所有手机截图、聊天记录、电话录音，以备纠纷时使用。

### 注意事项
- 若水果有保鲜要求（如冷链运输），验收时测箱内温度是否达标。
- 避免签收后拖延反馈，通常售后时效为到货后24小时内。
- 批量采购较大时，考虑加入第三方检测（如农药残留报告）条款。

以上操作确保流程清晰、有据可查，可最大限度保护单位利益。
