采购香蕉时，一箱里大小不一**确实会影响销售**，但影响程度取决于你的销售模式和客户定位。以下是具体分析和实操建议：

### 一、为什么会有影响？
1. **外观差、挑拣难**：顾客喜欢整齐、均匀的香蕉，大小不一看起来“不新鲜”或“乱”，会降低购买欲。
2. **定价复杂**：如果按**斤**卖，大香蕉和小香蕉混在一起，顾客可能专挑大的，剩下小的难卖；如果按**根**卖，大小不同价格难统一。
3. **损耗增加**：小香蕉可能因顾客反复挑拣而受损，加快软化变黑。

### 二、不同场景的影响程度
- **精品水果店/超市专柜**：非常明显，顾客对颜值要求高，所以影响很大。
- **社区店/菜市场摊贩**：影响较小，顾客看重价格和便宜，很多会接受“混合装”促销。

### 三、处理建议（可直接执行）
1. **分级销售（最推荐）**：开箱后按大小分两堆——大果按正常价零售，小果可降价或打包成“家庭实惠装”整袋卖。
2. **搭配促销**：小果搭着大果做“买大送小”或“组合套餐”。
3. **按箱低价**：如果整箱大小差异非常严重，直接按“批发价”整箱卖给熟客或餐饮店，减少损失。
4. **源头规避**：下次采购时，明确告知供应商“只要标准果”（如每根≥18厘米），并约定不合格可退货或补差价。

### 四、附加提醒
- 香蕉是后熟水果，大小不匀更容易出现“有的已经熟透、有的还青”的情况，务必分开存放，避免催熟不均。
- 如果销售渠道是**线上团购**，建议明确标注“混合装”或“大小不一，介意慎拍”，避免差评。

**总结**：完全不影响销售是不可能的，但通过分级、促销和源头控制，可以把影响降到最低。如果你店里的顾客偏价格敏感型，大小不一还可以成为“实惠”的卖点。
