佳农水果的香蕉产品通常根据果指长度、饱满度、外观和成熟度划分为不同规格，主要针对批发、商超、电商及餐饮等渠道。常见规格包括：

1. **超大果（约22-24厘米）**  
   - 适合高端商超、精品水果店，强调外观和口感，价格较高。

2. **大果（约19-22厘米）**  
   - 适用于中高端商超、电商平台，性价比适中，兼顾家庭消费。

3. **中果（约16-19厘米）**  
   - 常见于社区便利店、批发市场或特卖渠道，注重流通速度。

4. **小果（约13-16厘米）**  
   - 多用于果汁加工、烘焙或餐饮自助服务，成本较低。

**分级标准参考**：  
- **外观**：无机械伤、无病虫害、无黑斑；  
- **成熟度**：通常以绿熟（7-8成熟）发货，便于储运；  
- **果把**：每把果指数均匀，果指排列整齐（商超偏好6-8根/把）；  
- **甜度**：普通香蕉约18-22度，佳农有“树上熟”细分标准。

**渠道适配建议**：  
- **商超/精品店**：优先超大果或大果，单根重量≥150克；  
- **电商配送**：选用中度成熟（8成熟）大果，减少碰撞损伤；  
- **餐饮/加工**：小果或尾果处理，成本优先。

注意：具体分级可能随季节、产区调整，建议直接联系佳农当地经销商获取最新分级手册。
