酒店早餐水果供应，和供应商谈合作时，核心是围绕**稳定、品质、成本、风险**四个字来谈。以下是具体要注意的要点，按谈判前、谈判中、合同与执行分阶段说明。

### 一、谈判前：先把自己的需求摸清楚

1. **明确用量与频次**
   - 每天早餐大概需要多少斤/多少份水果？按旺季、淡季分别估算。
   - 需要每天配送还是隔天配送？配送时间点是什么（比如早上6点前到货）？
   - 这点直接决定供应商能不能接、报价高低。

2. **确定水果品类结构**
   - 不要只说“要水果”，要分：
     - 基础款：西瓜、哈密瓜、香蕉、苹果、橙子等，走量、成本可控。
     - 季节款：随季节调整，比如夏天荔枝、冬天砂糖橘。
     - 点缀款：圣女果、蓝莓、火龙果等，提升早餐档次。
   - 基础款占比高，才能稳定供应、控制成本。

3. **明确品质标准**
   - 成熟度：早餐水果不能太生也不能过熟，比如香蕉要刚好可剥、不黑心。
   - 大小、色泽、新鲜度、有无破损腐烂。
   - 是否要求切配？切果盘、切块、去皮等，这涉及加工费和食品安全责任。

4. **了解市场行情**
   - 先问2-3家供应商报价，掌握批发市场大致价格。
   - 注意水果价格波动大，要问清楚报价有效期和调价机制。

### 二、谈判中：重点谈清楚这些条款

1. **价格与调价机制**
   - 是固定价还是随行就市？建议基础款锁价一段时间，比如一个季度。
   - 调价要有依据，比如以当地批发市场当日均价为参考，提前几天通知。
   - 问清楚是否含税、含运费、含切配费。

2. **供应稳定性**
   - 供应商有没有稳定货源？是否依赖单一产地？
   - 遇到台风、暴雨、节假日涨价缺货时，如何保证酒店用量？
   - 是否允许临时加单？加单提前多久通知？加单价格怎么算？

3. **品质与验收**
   - 验收标准写清楚：品种、规格、成熟度、新鲜度、破损率上限。
   - 不合格怎么处理？补货、换货、扣款还是退货？
   - 建议约定：破损率超过一定比例，比如5%，整批可拒收或按比例扣款。

4. **配送与时间**
   - 配送时间必须早于早餐备餐时间，比如6:00前到货。
   - 迟到怎么办？是否有违约金或应急补货方案？
   - 谁负责卸货、搬入仓库？是否送到指定地点？

5. **食品安全与证照**
   - 供应商要有营业执照、食品经营许可证。
   - 水果来源可追溯，最好能提供产地或批次信息。
   - 切配水果的，要符合食品安全要求，冷链、卫生、人员健康证等。
   - 出现食品安全问题，责任和赔偿要写清楚。

6. **结算方式**
   - 月结还是周结？账期多久？
   - 对账依据：送货单、验收单、发票。
   - 建议保留部分质保金或采用月结，避免一次性预付太多。

7. **应急与备用方案**
   - 要求供应商提供备用货源或应急联系人。
   - 酒店自己也应备1-2家备用供应商，防止单一供应商断供。

### 三、合同与执行：把口头承诺落成文字

1. **签书面合同**
   - 不要只靠微信或口头约定。合同里写明品种、规格、单价、频次、验收标准、违约责任。
   - 价格调整、临时加单、质量问题处理都要有条款。

2. **建立验收流程**
   - 每天到货由厨房或库管验收：称重、看品质、拍照留档。
   - 不合格当场记录，双方签字确认。

3. **定期评估供应商**
   - 每月看：到货准时率、品质合格率、投诉次数、价格合理性。
   - 连续不达标，按合同扣款或更换。

4. **保持多家比价**
   - 即使合作稳定，也建议每季度了解市场价，避免被单一供应商拿捏。
   - 但也不要频繁换供应商，否则品质和供应稳定性反而受影响。

### 四、一句话总结

和水果供应商谈合作，重点不是把价格压到最低，而是**把品质标准、供应稳定性、验收规则、调价机制、食品安全责任和应急方案谈清楚，并写进合同**。这样早餐水果才能长期稳定、少出问题。
