针对都乐（Dole）和鑫荣懋（Joy Wing Mau）两家供应商的进口苹果供货稳定性，以下是基于行业常见情况的评估和建议，供您参考：

1. **都乐（Dole）**  
   - 优势：全球品牌，供应链成熟，尤其是智利、美国等产地的苹果货源较稳定，与大型超市、连锁渠道合作经验丰富。  
   - 可能风险：国际海运、港口拥堵或产地天气异常时，到货时间可能延迟；价格波动受国际行情影响较大。  
   - 建议：可签订长期框架协议锁定部分货源，但需约定船期延误的补偿条款。

2. **鑫荣懋**  
   - 优势：国内头部水果供应链企业，在进口苹果（如新西兰、智利）方面渠道较广，能结合国产果做组合供应；国内仓储和分仓布局较完善，应急调货能力较强。  
   - 可能风险：小批量订单的灵活性优于大型品牌，但紧急加单时可能受限于季节性品种的限定供应期。  
   - 建议：可重点沟通分仓就近配货政策，并确认其是否提供“库存预警”或“补货预测”服务。

**实操建议**：  
- 要求两家供应商提供近1年（或近3个月）的订单履约率、平均到货周期及因不可抗力导致的断货记录。  
- 评估时考虑您的门店覆盖范围：若需覆盖全国多门店，鑫荣懋的国内分仓网络可能更占优势；若高端渠道单店需求大、品牌溢价高，都乐的品牌背书更强。  
- 风险对冲：可考虑同时合作两家，按比例分单（例如都乐70%、鑫荣懋30%），并设置月度灵活调整比例机制。

如需更精确的数据（如具体产地、运输周期、历史断货天数），建议直接要求供应商提供“供货能力证明”或联系行业内的其他连锁同行参考经验。
