都乐（Dole）和鑫荣懋（Xinrongmao）作为生鲜供应链企业，其物流时效通常需要结合具体合作模式和区域来看。以下是基于行业普遍情况的参考：

1. **都乐（Dole）**：  
   - 多采用“产地直发+冷链干线”模式，通常承诺**下单后48-72小时**内从产地（如海南、广东）发货到主要城市。  
   - 时效优势：有自有冷链车队和分选中心，对标准化包装的菠萝（如都乐金菠萝）能较快完成集货。  
   - 限制：偏远地区（如西北、东北）需额外增加1-2天中转。

2. **鑫荣懋（Xinrongmao）**：  
   - 作为大型果品供应链平台，以整合多产地资源为主，时效因合作基地不同有差异。  
   - 通常承诺**48-72小时**内完成产地直发，但若采用多家种植户拼单模式，可能需72-96小时。  
   - 特点：在社区团购、商超配送中表现稳定，但个人客户直购可能依赖下游经销商，时效略慢。

**实际建议**：  
- 若主要考虑**新鲜度**：都乐自营产地直发更稳定（如通过盒马、叮咚买菜等平台采购）。  
- 若追求**价格**：鑫荣懋在拼单批发（如大客户集采）中更具优势，但个人用户需明确发货批次时间。  
- **验证方法**：联系两家公司的官方客服或查看近期合作协议（如“菠萝专线”案例），要求书面承诺分时段（如48小时、72小时）的时效规则及违约处理条款。  

注意：实际时效受天气、交通管制、冷链运力影响，建议在合作前要求对方提供最近3个月的平均到货时间统计数据（如从海南文昌到上海的跨度）。
