建议您从以下几个维度对比都乐和洪九果品的菠萝性价比，并结合自身定位选择：

1. **价格与规格**  
   - **都乐**：通常走高端精品路线，菠萝多为菲律宾或产地直采，价格偏高（如单颗装约20-35元），包装精美，规格统一。  
   - **洪九果品**：以供应链和性价比见长，菠萝多来自泰国或国内广西、海南等地，价格相对亲民（如单颗约10-18元），但包装可能较简。  

2. **品质与口感**  
   - **都乐**：菠萝甜度高、酸度低，果肉金黄，纤维细腻，较受追求品质的顾客欢迎。  
   - **洪九果品**：口感因产地和批次浮动较大，部分批次偏酸，但成熟度好时品质稳定，适合追求实惠的大众市场。  

3. **供货与损耗**  
   - **都乐**：冷链体系成熟，配送稳定，但货架期较短（约5-7天），需注意库存周转。  
   - **洪九果品**：国内产地直发，到货新鲜度可控，但可能因批次差异导致损耗率略高。  

4. **目标客群**  
   - 若门店定位**中高端**，推荐都乐（可搭配礼品概念）。  
   - 若主打**社区或高复购率**，选洪九（利用价格优势吸引客流）。  

**建议策略**：  
- **试用双品牌**：短期测试两类菠萝的销量、损耗及毛利，对比单颗毛利率。例如，洪九若毛利率达45%以上，则性价比更优。  
- **差异化陈列**：将都乐作为精品推荐，洪九作为日常主推，分别标注产地和口感特点。  

如所在区域有洪九的供应链优势（如近产地），可优先选择；若客户对品牌认可度较高，则都乐更易快速打开市场。
