佳农水果的香蕉主要根据果指长度、果径、成熟度和外观品质进行分级，常见规格包括以下几种：

1. **特级果（顶级/出口级）**  
   - 果指长度：≥20厘米  
   - 果径（中部直径）：≥3.5厘米  
   - 外观：无机械损伤、无黑斑、无锈斑，色泽金黄均匀，果形笔直  
   - 适合渠道：高端商超（如盒马、山姆）、精品水果店、礼品市场、出口

2. **一级果（A级）**  
   - 果指长度：18-20厘米  
   - 果径：3.2-3.5厘米  
   - 外观：允许轻微斑点或小面积锈斑，无明显压痕  
   - 适合渠道：大型连锁超市（如永辉、大润发）、生鲜电商（每日优鲜、美团优选）

3. **二级果（B级）**  
   - 果指长度：15-18厘米  
   - 果径：2.8-3.2厘米  
   - 外观：可有少量黑点或轻微弯曲，成熟度差异较小  
   - 适合渠道：批发市场、社区水果店、餐饮连锁（果汁店、甜品店）、特价促销渠道

4. **三级果（C级/加工果）**  
   - 果指长度：≤15厘米  
   - 果径：≤2.8厘米  
   - 外观：允许较多黑斑、轻微挤压或形状弯曲  
   - 适合渠道：鲜切水果加工、香蕉干/香蕉酱生产、烘焙原料、酒店自助早餐或员工食堂

此外，佳农还针对特定渠道推出**定制规格**，例如：  
- **电商小串**（每串4-6根，单根15-18厘米，预包装）专为线上零售设计  
- **催熟标准化级**（按到货后3-7天不同熟度分级）适配不同门店周转需求  

分级核心标准参考香蕉的**重量、长度、弯曲度、疤痕率**，具体参数可能随佳农产地（如菲律宾、厄瓜多尔）和季节性调整。如需精确当前批次的分级表，建议直接联系佳农区域销售或查看其产品包装上的等级标识（如“特级”“A级”标签）。
