判断连锁超市的香蕉供应商能否全年稳定供货，核心要看**供应链的深度**和**应急能力**。以下是具体的评估标准和操作建议，你可直接用于供应商考察或合作谈判：

### 一、核心判断指标（可直接量化）

1.  **产地分布（多国或多地区错峰）**
    - **关键点**：香蕉是热带水果，单一产地会有季节波动（如台风、雨季）。稳定供应商必须有**至少2-3个不同地理区域的货源**（如厄瓜多尔、菲律宾、中国云南/海南，或南美与东南亚搭配）。
    - **验证方法**：要求供应商提供**过去12个月的产地供应日历**，看是否有连续断供的空档期（如某月份产地全部进入尾季）。

2.  **自有或长期合作的冷藏物流与催熟产能**
    - **关键点**：香蕉需要冷链运输+催熟库。供应商如果只有贸易商身份而无自有催熟库（或稳定的第三方合作），旺季容易受制于人。
    - **验证方法**：实地查看其催熟库容量，并问清**旺季（如春节前）能承诺的最大周供应量**，对比你的采购量级。

3.  **历史供货记录与违约率**
    - **关键点**：以数据代替口头承诺。
    - **验证方法**：索取其**最近24个月给其他连锁超市的月度发货明细**，计算准时交货率（建议要求**≥95%**）。同时询问其**最大单次断供天数**（超过7天即视为不稳定）。

### 二、关键谈判与试用测试

4.  **“断货压力测试”**
    - **实操建议**：在合作初期，故意选择**非旺季**（如3月或9月）要求其紧急补货500箱/次（高于日常量30%）。
    - **观察点**：看他能否在72小时内调动替代产地货源。如果只能依赖单一产地，通常会拖延或提出大幅度涨价。

5.  **价格波动锁定机制**
    - **判断逻辑**：全年稳定供应不等于每批价格都低，但供应商必须有**价格保护条款**。例如：当产地价格上涨15%时，提前30天书面通知，且年度调价次数不超过4次。
    - **风险信号**：如果供应商拒绝任何价格承诺，只按“当天行情”报价，说明其库存薄弱，无法对冲市场风险。

### 三、现场核查清单（实地走访）

- **看冷库温度记录**：香蕉适宜储运温度是13-14°C。如果冷库温度波动超过±1°C，货架期会缩短，导致你超市的损耗率上升，间接增加补货压力。
- **看供应商的“备用包装线”**：如果其包装厂只有一条流水线，台风季或设备故障时极易停产。

### 四、判“死”信号（一票否决）

- 供应商拒绝提供**产地果园的采购合同或检疫证明**（可能涉及走私或质量不达标）。
- 供应商的注册资本或资产规模**远低于**你的年度采购额（例如你年采购额500万，对方注册资本仅10万，且无固定资产）。

---

**最终决策标准**：一家全年稳定供货的供应商，其核心特点是**“产地组合多元化” + “自有催熟/存储设施” + “书面违约赔偿承诺”**。建议在合同中明确写清：若连续2周断供，需赔偿你超市当周销售额的30%作为违约金。这能有效筛掉大部分“伪稳定”供应商。
