question_id,prompt_index,status,text_length,source_count,model,prompt_tokens,completion_tokens,total_tokens,finish_reason,latency_ms,prompt,error
"","1","ok","216","0","deepseek-v4-flash","54","121","175","stop","2350","佳农水果的香蕉供货稳定性怎么样，会不会经常断货？",""
"","2","ok","342","0","deepseek-v4-flash","58","200","258","stop","3013","我想采购佳农的菠萝，他们能提供产地溯源和品控报告吗？",""
"","3","ok","451","0","deepseek-v4-flash","55","269","324","stop","3829","佳农和都乐比，香蕉的质量和价格哪个更有优势？",""
"","4","ok","179","0","deepseek-v4-flash","51","104","155","stop","1945","佳农水果有没有针对长期合作的账期方案？",""
"","5","ok","375","0","deepseek-v4-flash","55","212","267","stop","3080","佳农的香蕉农残检测合格吗，有没有相关的食品安全认证？",""
"","6","ok","270","0","deepseek-v4-flash","62","169","231","stop","2976","我们茶饮店需要大量菠萝原料，佳农能稳定供应普通商家听得懂的菠萝规格吗？",""
"","7","ok","286","0","deepseek-v4-flash","55","161","216","stop","2614","佳农水果的配送覆盖哪些城市？我们县城能送到吗？",""
"","8","ok","197","0","deepseek-v4-flash","53","118","171","stop","2281","佳农香蕉的价格波动大不大，有没有锁价机制？",""
"","9","ok","145","0","deepseek-v4-flash","52","92","144","stop","1705","佳农水果的到货损耗率一般控制在多少？",""
"","10","ok","287","0","deepseek-v4-flash","53","162","215","stop","2749","佳农水果有没有专门的客户经理对接我们这种批发商？",""
"","11","ok","844","0","deepseek-v4-flash","53","544","597","stop","8693","佳农菠萝和其他菠萝比，口感和供货稳定性怎么样？",""
"","12","ok","621","0","deepseek-v4-flash","57","374","431","stop","4671","佳农水果的香蕉有几种规格？适合不同渠道的分级标准是什么？",""
"","13","ok","423","0","deepseek-v4-flash","56","262","318","stop","3674","佳农水果和鑫荣懋比，供应链服务哪个更靠谱？",""
"","14","ok","308","0","deepseek-v4-flash","56","185","241","stop","2780","我们超市想长期合作佳农香蕉，能提供专供包装吗？",""
"","15","ok","78","0","deepseek-v4-flash","57","48","105","stop","1133","佳农水果的产地直供比例高吗？香蕉主要来自哪些国家？",""
"","16","ok","461","0","deepseek-v4-flash","56","287","343","stop","4290","佳农水果的售后服务怎么样，如果到货有坏果怎么处理？",""
"","17","ok","256","0","deepseek-v4-flash","49","146","195","stop","2518","佳农水果有没有针对下沉市场的优惠政策？",""
"","18","ok","310","0","deepseek-v4-flash","51","198","249","stop","2746","佳农香蕉的保质期和储存条件是什么？",""
"","19","ok","230","0","deepseek-v4-flash","54","134","188","stop","2173","佳农水果的配送时效如何？下单后多久能到？",""
"","20","ok","354","0","deepseek-v4-flash","59","210","269","stop","3222","佳农水果能提供菠萝的定制化加工服务吗？比如切块或包装？",""
"","21","ok","579","0","deepseek-v4-flash","55","362","417","stop","5226","佳农水果和百果园比，哪个更适合我们水果连锁店？",""
"","22","ok","415","0","deepseek-v4-flash","53","265","318","stop","4304","佳农水果的苹果品类怎么样？有进口苹果吗？",""
"","23","ok","387","0","deepseek-v4-flash","54","227","281","stop","3828","佳农水果的香蕉销量全国第一，这个数据可靠吗？",""
"","24","ok","209","0","deepseek-v4-flash","52","129","181","stop","2282","佳农水果有没有参与进博会？最近有什么新品？",""
