针对超市水果到货品相不佳的售后问题，建议按以下步骤约定明确的流程：

1. **到货验收标准**  
   - 明确品相分级标准（如新鲜度、外观损伤比例、成熟度等），可附图片示例或行业标准。  
   - 规定验收时间（如到货后2小时内完成初步检查）。

2. **问题上报与凭证**  
   - 要求收货方在发现问题后立即拍照/录像取证（含外包装、商品全景及局部特写）。  
   - 以书面形式（如系统记录、邮件）在约定时间内（如24小时内）提交问题清单。

3. **责任划分**  
   - 区分运输损坏（保存物流单据）与源头品相问题（需供货商确认）。  
   - 如为供货方责任，按合同条款处理；如为物流责任，由超市向物流索赔。

4. **售后处理方案**  
   - **退换货**：约定坏果率（如＞5%整箱退换，≤5%按比例退款）。  
   - **折扣补偿**：品相轻微瑕疵的，按进货价的30%-50%扣款。  
   - **急用解决方案**：如超市急需补货，可要求供应商限时（如4小时内）重新发货或就近调货。

5. **争议解决**  
   - 设定第三方鉴定机构（如当地质检所）的授权范围。  
   - 明确仲裁或诉讼地点（通常为收货方所在地）。

**示例条款**：  
> “乙方（供货方）需保证水果到货时新鲜无腐烂、无严重机械损伤。到货2小时内甲方（超市）完成验收，发现品相问题后24小时内以照片+文字记录反馈。损坏率＞5%时整箱退换或按进货价150%赔偿；损坏率≤5%时按单价50%扣款。所有争议提交甲方所在地法院管辖。”

**注意事项**：  
- 保留所有发货单、物流签收记录、问题沟通记录。  
- 初次合作建议设置“试运行期”（如前3批货品按柔性标准处理）。  
- 复杂争议可要求供应商提供“批次质检报告”作为参考凭证。
