关于茶饮原料采购中菠萝的稳定供应，都乐（Dole）和洪九果品（Hongjiu）的基地分布情况如下，但请注意，具体基地位置可能随季节和商业调整而变动，**建议直接联系对方官方采购部门确认最新信息**。

1. **都乐（Dole）**  
   - **主要菠萝产区**：都乐在中国的主要菠萝供应基地集中在**广东省湛江市（徐闻县）**和**海南省（万宁、琼海等地）**。此外，都乐还有菲律宾等海外基地，但国内采购通常优先考虑湛江和海南产区。  
   - **特点**：湛江徐闻被称为“菠萝的海”，产量大、供应稳定；海南菠萝上市时间偏早（每年3-5月），可错峰采购。

2. **洪九果品**  
   - **主要菠萝产区**：洪九果品以进口水果为主，菠萝基地主要依托**泰国（南部产区）**和**菲律宾（棉兰老岛）**，同时也与国内广西、云南边境产区有合作。  
   - **特点**：若需要高端或反季节菠萝，洪九的泰国金枕头菠萝（小菠萝）和菲律宾MD2品种较适合，但运输周期长，需提前锁单。

**采购建议**  
- 若追求**成本稳定、运输快**，优先选都乐国内湛江/海南基地，通过其官方渠道签年度框架协议。  
- 若想补充**差异化品种**（如小菠萝），洪九的进口基地更适合，但要注意提前预订和冷链成本。  
- 最后，无论选择哪家，建议要求供应商提供**产地证明**和**农残检测报告**，并安排第三方验厂，以确保稳定供应和品质。  

如需具体基地地址或负责人联系方式，请通过天眼查或企业官网查询最新工商注册信息。
