在面积有限的便利店里做水果销售，核心策略是**“少而精、快周转、场景化”**，切忌把便利店当成水果店经营。

以下是可以直接落地的控制方案：

### 一、品类控制：只做“3+2”模型
不要追求品类齐全，只卖少数几个高频单品。建议严格控制在 **5-7个SKU** 以内。

1. **必杀引流款（2-3个）**：选择大众接受度极高、无季节性明显断层的硬通货。
   - **香蕉**（永远的神，利润率中等但损耗率相对可控，必须每日分批进货）。
   - **苹果**（选红富士或花牛，耐放，损耗极低）。
   - **梨**（秋天雪梨，冬天库尔勒香梨，全年都有供应商）。
   
2. **应季尝鲜款（1-2个）**：紧跟时令，例如夏天的西瓜（可切盒卖）、冬天的草莓（小包装）。**注意：这类一旦过了最佳口感期，立刻下架，绝不恋战。**

3. **果切急救款（1个）**：便利店面积小，最怕的是大体积水果（如整个西瓜、菠萝蜜）。**不要卖整个，只卖切好的盒装果切。** 例如西瓜、哈密瓜切盒卖，单价低、毛利高，且能吃掉损耗。

**硬性红线：** 如果门店没有独立冷藏展示柜，**坚决不卖草莓、蓝莓、杨梅、荔枝**等超易腐水果；不卖榴莲、菠萝蜜等重气味水果（会串味影响其他商品）。

### 二、损耗控制的“345”法则
损耗不是靠事后处理，是**事前控量**。

1. **进货策略（定死订货量）**：
   - **“少量多次”**：宁可每天叫货，也不囤货。香蕉中午卖完下午再补，不要一箱进。
   - **按“个/盒”订货**：别按“箱”订，按“盒”订。供应商要看量，如果你的门店日销水果不足500元，可以找附近的生鲜超市/菜市场“代采”，每天按半箱或指定数量供货，**牺牲一点进货价，换取0库存滞销风险**。

2. **出样与陈列（减少人为物理损耗）**：
   - **不叠放、不堆高**：便利店冰柜或货架小，超过2层必然压坏底下的水果。
   - **把“丑果”放在表面显眼处**：外皮有斑但内部完好的（如香蕉），贴上“今日特价”，放最上层，引导顾客优先拿走。
   - **严禁给顾客试吃大块**：试吃只切指甲盖大小，用牙签固定，不给整颗。

3. **日清定时器（重点，很多人会忽略）**：
   - 设定**每日4个扒皮点**：开店时（检查昨晚余货）、午高峰结束（14:00）、傍晚高峰前（17:30）、打烊前（21:00）。
   - 每次扒皮时，**把摸起来发软、表皮变色（如苹果起皱、葡萄掉粒）的挑出来**，立即转入“果切盒”或“特价篮”。绝不等到第二天。

### 三、针对小门店的特别止损技巧

- **果切是损耗收割机**：当天卖不完的整果，晚上下班前1小时，全部切盒低价卖（例如原价9.9元的西瓜切盒，晚上7点以后卖6.9元），能卖多少卖多少。**打烊后垃圾桶里的切盒成本极低，总好过放一夜烂掉扔掉整果。**
  
- **不要把水果放在收银台正前方**：小门店顾客进来买烟买水，视线焦点若被水果吸引，容易发生触碰跌落。将水果放**进店右手边第二组货架**或收银台对面一米远处的侧方，减少碰撞损耗。

- **设置“当日限购”**：例如圣女果、葡萄，每个顾客最多拿2盒。倒不是怕人偷，而是防止顾客反复挑拣把果梗碰落，造成物理损耗。

### 四、预期你的利润模型（给老板的定心丸）
- 便利店水果的**毛利定到35%-45%**较为合理（高于大超市的25%）。
- **日流失率控制在2%以内**属于正常损耗；若超过5%，说明你的货订多了或陈列温度不对。
- **周转天数务必小于1.5天**，也就是说今天进的货，明天中午前必须卖完或处理成特价/果切。

**最终结论**：便利店卖水果，卖的不是“水果”，是“方便和新鲜”。只要保证货架时刻干净、每颗都新鲜，即便只有5种水果，也能在社区小店里锁住固定客源。优先减少品种，比什么都管用。
