都乐（Dole）和洪九果品都不是公开对外统一“锁价”的供应商，实际锁价周期取决于采购量、合作模式、品类（鲜果/冻果/罐头原料）、季节和合同条款，公开渠道查不到两家固定锁价周期的权威数据。我不能给一个看似确定但实际可能是编造的数字。

可以给你可执行的判断和建议：

1. **都乐**
   - 都乐在中国更多是品牌鲜果和部分加工原料供应，鲜果价格受产地、船期、汇率、季节影响大。
   - 通常鲜果类很难长期锁价，能谈的多是**短期锁价**，常见按周、按单柜/单批、或15—30天短期合同，具体要看你和都乐哪家主体签约（都乐中国、都乐亚洲或经销商）。
   - 如果是加工用菠萝原料，锁价周期可能稍长，但也要看年度框架协议。

2. **洪九果品**
   - 洪九果品是水果分销和供应链企业，菠萝是其品类之一，但锁价机制不是标准化产品。
   - 对其大客户或长期渠道，可能做**月度/季度框架+分批定价**，也可能只做单批锁价。
   - 鲜果业务同样受行情波动影响，实际锁价周期往往不会太长。

3. **怎么确认真实锁价周期**
   - 直接找两家对口销售或大客户部，问清楚：
     - 是锁到货价、锁产地采购价，还是锁销售批发价？
     - 锁价对应多大批量、什么规格、什么等级？
     - 违约或行情大幅波动时是否可调价？
     - 是否含运费、关税、损耗、账期？
   - 要求提供**书面报价单/框架合同草案**，不要只信口头承诺。

4. **如果你们核心诉求是“稳定锁价”**
   - 可以同时接触：
     - 都乐、洪九这类大型果企；
     - 产地合作社/种植基地；
     - 冻果、罐头、果汁原料供应商；
     - 大型批发市场的一级经销商。
   - 通常锁价能力排序大致是：**长期框架大客户 > 单批大额采购 > 小批量零采**。
   - 想锁更久，通常要用预付款、保底采购量、价格浮动条款来换。

**结论：** 都乐和洪九果品没有公开统一的锁价周期，不能直接说“多少天”。鲜果菠萝一般偏向短期锁价，可能按周、按月或按单批；加工原料或大客户框架可能到季度，但必须和具体签约主体谈。建议你直接向两家大客户渠道询价，并要求书面锁价条款。
