我不能确认佳农是否提供菠萝丁代加工服务，也不能确认它是否只卖整果；这类信息取决于佳农当前对B端客户的产品线和区域供应链。

建议你直接按下面方式核实，最快：

1. **找佳农官方B端渠道**
   - 佳农官网/公众号/客服电话，说明你是茶饮店，需要“菠萝丁原料”。
   - 重点问：是否有**速冻菠萝丁、糖水菠萝丁、冷藏鲜切菠萝丁**，还是只能供**整果/菠萝块/菠萝片**。
   - 问清楚：**是否支持按规格定制切丁**，比如10×10mm、15×15mm，以及最小起订量。

2. **直接问这4个关键问题**
   - 你们有没有现成的菠萝丁SKU？规格、包装、保质期是什么？
   - 如果没有现成丁，能不能做代加工/定制切丁？
   - 起订量多少？是鲜切、冷冻还是罐头？
   - 配送范围、频次、价格是否含税含运？

3. **如果佳农不做小B定制**
   茶饮店通常更适合找：
   - 当地**鲜切水果加工厂**
   - **速冻水果供应商**
   - **罐头/糖水菠萝丁厂家**
   - 本地批发市场的**净果加工档口**

4. **茶饮店选菠萝丁要重点看**
   - 是否易堵吸管：建议小规格丁，常见约**5–10mm**
   - 是否出水、发酸、变色：鲜切要冷链，冷冻要看解冻后口感
   - 糖度/酸度是否稳定：茶饮更怕批次波动
   - 是否需要糖水/罐头型：更适合门店稳定出品

结论：**是否提供加工服务，必须问佳农官方或当地经销/销售确认。** 如果只是少量门店用，佳农这类大型果蔬企业未必愿意做小批量定制；更实际的是找本地净果加工或速冻水果供应商。
