选择水果供应商时，除了关注价格、品种和送货及时性等常见因素外，以下容易被忽视的细节可能长期影响生意稳定性，建议重点关注：

1. **水果的源头和采摘时间**  
   - 问清供应商的水果来自具体产地，以及采摘后到送达的时间差。同种水果（如芒果、香蕉）可能因成熟度或采收时间不同导致货架期差异较大，需要根据销售节奏选择合适成熟度的货源。

2. **冷链物流能力与管控**  
   - 不仅是“有没有冷链”，而要看冷库温度是否稳定（如榴莲、草莓需特定温度），以及运输中是否全程记录温湿度数据。断链的水果容易在表面完好时内部变质。

3. **分选和分级标准的透明度**  
   - 供应商的分级标准是否清晰（如大小、颜色、糖度等指标）？是否允许小规模验货？部分供应商可能将次品混入高价等级，长期来看需定期抽检或要求提供分级报告。

4. **特殊品种或小众果品的采购策略**  
   - 对牛油果、山竹等后熟型水果，供应商是否理解催熟或保鲜条件？对于季节性强的进口水果（如智利车厘子），需确认其是否具备稳定的空运或海运渠道，以及是否在淡季有替代品种储备。

5. **售后对损耗的处理机制**  
   - 明确次果、烂果的退换货标准，以及损耗率超过多少时如何补偿（例如运输中失水导致重量缩水）。部分供应商可能只赔偿明显破损，但实际因冻伤、挤压导致的软烂难以追溯。

6. **供应商的库存周转能力**  
   - 小型供应商可能无法支撑突发订单或库存调整，建议观察其存储仓库的存货量、周转速度（比如是否常有大量尾货）。长期合作需要对方有足够资金和冷库容量来应对旺季和淡季波动。

7. **隐性成本与结算周期**  
   - 关注是否包含分级、包装、标签等附加费用，以及结算方式是否支持账期（如月结）且无隐藏手续费。供应商若要求全额预付，则需警惕其资金链风险。

**行动建议**：  
- 首次合作前，要求供应商提供近一周的到货批次记录（含产地、采摘日期、到货时间），并随机抽检其中一箱的糖度、硬度等指标。  
- 签订合同时，将损耗率、补货响应时间、价格调整机制（如季节性波动）等写入条款。  
- 定期与供应商当面沟通其冷库设备维护记录，避免因设备老化导致水果存储环境不稳定。  

这些细节看似琐碎，但长期来看会影响损耗率、客户满意度和利润空间，建议优先通过小批量试单验证后再扩大合作。
