水果店遇到坏果，处理方式取决于**交易模式、合同约定、坏果比例和发现时间**。下面按常见情况给你一套可执行的判断和结算方法。

## 一、先分清你是哪种进货模式

| 模式 | 特点 | 坏果责任 |
|---|---|---|
| 送货上门、账期结算 | 供应商送货，月结/周结 | 一般可拒收、扣款、换货 |
| 自己到批发市场现金采购 | 一手交钱一手交货 | 当场验货最关键，离场后很难追责 |
| 代销/联营 | 卖完再结算 | 坏果通常由供应商承担 |
| 平台采购 | 有平台售后规则 | 按平台流程申请赔付 |

**核心原则：谁承担损耗，看约定；没约定，看行业惯例和过错。**

## 二、正常处理流程

### 1. 当场发现（收货时）
- **能拒收就拒收**，让供应商拉回。
- 不能全拒的，**当场挑出坏果，双方清点数量、拍照、签字确认**。
- 在送货单上注明：“坏果X斤，待扣款/换货”。

### 2. 收货后才发现
- **24小时内**（越快越好）拍照、拍视频，保留坏果和包装。
- 通知供应商，要求**换货或折价**。
- 超过约定验收期，供应商可能不认，所以一定要看合同/口头约定的验收时限。

### 3. 已经卖出去才发现
- 一般**不能向供应商追溯**，因为无法证明是进货时就坏的。
- 除非能证明是批次性质量问题（如整箱内部腐烂），可协商部分补偿。

## 三、结算和赔付的常见方式

1. **直接扣款**
   - 按坏果数量 × 进货单价，从货款中扣除。
   - 例：进货100斤，坏10斤，单价3元，扣30元。

2. **换货补货**
   - 供应商下次送货时补同等数量，不扣钱。

3. **折价处理**
   - 坏果不退货，但按折扣价结算，比如按50%计价。

4. **整批退货**
   - 坏果比例高（如超过10%-20%），可要求整批退回、不结算。

5. **协商分摊**
   - 长期合作、责任不清时，双方各承担一部分，比如供应商承担70%。

## 四、关键判断标准

- **坏果比例**：少量（如3%以内）常被视为正常损耗，可能不赔；超过约定比例才赔。
- **是否影响销售**：局部坏果可挑拣，整箱腐烂则应按质量问题处理。
- **是否有约定**：合同、微信记录、送货单备注都算证据。
- **发现时间**：越早越好，离场越久越难追责。

## 五、实操建议

1. **进货前谈清楚**：坏果怎么赔、验收期多久、按什么比例扣款。
2. **每次收货必验**：尤其叶菜、草莓、荔枝等易坏品。
3. **留证据**：照片、视频、送货单、聊天记录。
4. **先协商，后扣款**：直接扣款容易激化矛盾，最好先通知对方确认。
5. **长期供应商**：可约定“坏果率超过X%按实扣款，低于X%自行承担”。
6. **争议大时**：可找批发市场管理方、行业协会调解，或按合同走法律途径。

## 六、一句话总结

**当场发现就拒收或当场扣；事后发现要快拍照、快通知、按约定扣款或换货；没约定的，少量算正常损耗，大量按实际坏果数量协商赔付。**
