为员工批量采购下午茶水果，不仅需要考虑水果的新鲜度和价格，还要重点解决**配送时效**和**损耗**问题。以下是直接可执行的选择与筛选建议：

### 一、优先选择的供应商类型（按靠谱程度排序）
1. **本地一级水果批发市场（如农批市场档口）**——价格最低，但需自行提货或单独谈配送，适合有车且有专人对接的公司。
2. **本地生鲜配送平台/B2B供应商（如美菜、快驴、区域型生鲜配送公司）**——专门做企业客户，有冷链车、能定时送，退换货流程相对标准。
3. **大型商超的企业团购部（如永辉、山姆、Costco企业会员）**——品控稳定，水果标准化程度高，但价格略高于批发市场，适合看重品质和售后保障的公司。

> **重点提醒：不建议选择街边水果店或外卖平台上的散单水果店**，他们缺乏冷链分拣能力，批量订单极易出现大小不一、磕碰严重的情况。

### 二、筛选供应商时的硬性考察标准（建议直接用语言去问）
1. **能否提供“分拣式”配送而非“整箱原包”**：必须要求供应商送货前把烂果、压伤果挑拣掉，并按“单个独立包装”或“托盘分装”送达，否则员工体验会很差。
2. **是否支持“签收后6小时内在场验货”**：约定好如果开箱发现坏果，可以拍视频/照片，供应商需在当天补送或按比例折算退款；避免出现“送完就走、不认售后”的情况。
3. **配送车辆类型**：要求必须是带恒温或冷藏功能的厢式车，而不是普通面包车敞开放置。夏天尤其重要，不然水果温度高闷坏极快。

### 三、选品搭配建议（兼顾成本和体验）
批量采购时，推荐“**耐储水果（占70%）+ 即食易切水果（占30%）**”组合，既能压低单价又显得丰盛：

- **耐储首选**：香蕉（便宜、接受度高）、橙子、苹果、梨。注意：香蕉容易熟透发黑，一定要叮嘱供应商送七成熟以下的。
- **需慎重的水果**：草莓、蓝莓、车厘子、切好的西瓜/哈密瓜拼盘。这些批量采购损耗极高，单价比零买省不了多少，且容易在下午送达后出现出水变质；如非要购买，必须要求走冷链车，且只选密封盒装。
- **绝对避雷**：荔枝、山竹、榴莲（味道大、易影响办公环境），以及任何需要常温裸露摆放的盒装切果。

### 四、合同/报价单需写明的关键条款（防止扯皮）
向供应商索要报价单时，要求对方必须注明：
- **具体水果品种的“等级”**：例如“红富士苹果，直径80mm以上”，而不是模糊写“苹果”。
- **报价包含项目**：是否含税、是否含配送费、是否有最低起送金额。
- **超时赔付规则**：约定晚了1小时扣除货款的百分比。
- **损耗基数**：由于水果运输中难免有轻微碰伤，可约定“自然损耗在3%以内正常，超过3%部分由供应商补足”。

### 五、快速试水的实操建议
**第一次采购不要大批量下单**。建议用一笔小订单（比如20人份）观察以下三点：
1. 供应商是否按时送到；
2. 水果外观、重量是否与报价单一致（可以自己拿电子秤抽查）；
3. 售后响应速度（故意指出一个轻微碰伤果，看对方是直接补货还是推诿）。

如果试水满意，可以再签月度框架协议，通常能拿到更优惠的阶梯价格。若试水就暴露问题，直接淘汰换下一家。
