针对批发档口拓展餐饮客户，菠萝和香蕉的规格建议如下：

### 菠萝
- **规格建议**：  
  - **整果规格**：单果重量1.5-2.5斤（中等大小），外观完整、无腐烂、果眼浅。  
  - **切块规格**：去皮去芯切块，包装成1斤/袋或2斤/袋（适合果汁店、甜品店）。  
  - **预处理规格**：去皮切片（厚1-2厘米）或瓣状（供烧烤、沙拉用）。  
- **餐饮客户需求**：果汁店、甜品店（需整果或切块）；茶餐厅、西餐店（需预处理片/瓣）。  
- **适配提示**：提供冷链运输，注明品种（如金菠萝、都乐）和成熟度（青熟可选）。

### 香蕉
- **规格建议**：  
  - **整把规格**：每把7-9根（约1.5-2斤），果皮无黑斑、新鲜度达9成熟（青转黄）。  
  - **去把规格**：单根独立包装（适合快餐、沙拉吧）。  
  - **切段规格**：切小段（约3-4厘米长），适合烘焙或果酱加工。  
- **餐饮客户需求**：早餐店（整把或单根）、果汁店（切段或整根）、烘焙店（需高熟度香蕉）。  
- **适配提示**：分批次发货（避免过熟），标注产地（如菲律宾、国产）。

### 通用建议
- **包装**：防挤压纸箱或透明保鲜盒，标明净重、保质期。  
- **价格策略**：整果/整把（基价稳）、切块/切段（高附加值）。  
- **测试策略**：先提供1-2个小规格样品，根据客户反馈调整供货。
