对于每天只需要少量水果的餐饮店，省心的供应商通常具备以下特点，您可以根据自己的情况选择：

1. **社区生鲜店或小型超市**  
   - 适合附近有门店、随时可补货的场景。  
   - 优点：无需订货量限制，每天按需购买，一般不额外收配送费。  
   - 省心点：能退换坏果，发货灵活，有问题直接到店沟通。

2. **区域性生鲜配送平台（如美菜、快驴、多多买菜等）**  
   - 适合需要固定每天送货、但量小的店铺。  
   - 优点：线上操作，选好下单，固定时间送达，通常有水果专供的“小份装”或“拼盘”。  
   - 省心点：可设定每周或每日自动下单，售后在线处理，坏果包赔。

3. **本地批发行或果农直供（按需小份配送）**  
   - 通过熟人推荐或口碑找到，要求对方提供“每日小单”服务。  
   - 优势：品质稳定，可能比平台便宜，能按需切割（如切好的果盘、去皮水果）。  
   - 省心关键：提前谈好最低起送量、配送时效、退换规则。

4. **与附近水果店/摊主建立长期少量供货关系**  
   - 每天固定从同一家拿少量，谈好价格和开放退换。  
   - 如果能接受每日临时要货（不固定），对方也愿意接单。  
   - 省心点：熟人关系，偶尔缺货时对方会主动帮你补货。

**省心核心建议**：  
- **固定一家**：至少找1-2家备选，避免频繁更换供应商浪费时间。  
- **提前沟通“小单”需求**：多数供应商偏好大单，要明确说明你每天要的量（比如3-5斤），对方若接受则服务意愿高。  
- **建立坏果赔付机制**：无论选哪种方式，要约定好坏果怎么处理（拍照退款、换货或补发），不要口头承诺。  
- **考虑预切水果方案**：如果成本允许，找提供“预切果盘”的供应商可以省去你每天处理的时间。

总结：**社区生鲜小店+每日线上平台**组合最省心——平时主要靠平台下单，缺货或急用时步行去店里买。如果您有固定量，可以考虑本地小型配送商。
