在批发档口找香蕉一手货源，判断对方是否稳定供货，不能只看价格，建议从**硬性指标**、**供应链细节**和**风险测试**三个维度来考察：

**一、 硬性指标（合同与资质）**
1. **看单证**：要求看对方的《营业执照》和《食品经营许可证》，如果是进口香蕉，还要看《入境货物检验检疫证明》（俗称“卫生证书”）。稳定的大供货商证件齐全且能现场翻看。
2. **签保供协议**：协议里必须明确写出**保底供货量**、**价格浮动机制**（比如涨价时提前几天通知）以及**断货赔偿条款**。如果对方对“断货赔偿”含糊其辞，稳定性堪忧。

**二、 供应链细节（核心判断点）**
3. **问清货源性质**：直接问“你们是从海南、广西、云南基地直发，还是从云南磨憨、广西凭祥口岸自己报关？还是从广州江南市场、嘉兴市场二批？”**能说清具体产地或口岸的，比只说“我们有基地”的可靠度高一倍**。
4. **看冷库与温控记录**：香蕉对温度极敏感。让他带你看冷库，实测库温（18-20度最好），并要求看近3天的入库出库记录。如果连冷库都没有，或者温度忽高忽低，雨季或台风季很容易断供。
5. **问“台风应急预案”**：直接问“如果产地连续下暴雨或台风封路，你的货怎么调？”稳定供货商能说出“我们有两个备用产地”或“我们在市场有寄存货”。

**三、 风险测试（实操验证）**
6. **试单“小、中、大”**：不要一次性下大单。第一单只订**3-5件**，观察到货时间、成熟度（青度）是否一致。第二单加量到**10件**，看是否还准时。两次都稳，再放长线。
7. **观察账期态度**：稳定的大供货商通常要求“现款现结”或“车到付款”，但**不惧开票**。如果对方“先打全款再发货”且不给任何凭证，极大概率是二包头骗子，这种不稳定风险极高。
8. **加微信看朋友圈**：看他最近半年朋友圈是否持续在发档口出货、产地装车、冷库卸货的视频，且日期连贯。如果朋友圈一片空白或全是转发，谨慎。

**关键加分项（择优选）**：
- 拥有**自有运输车队**（不受外面物流罢工影响）。
- 有自己的**催熟房**或**指定催熟代工厂**（意味着他能控制上市节奏，这种通常资金实力强）。

**最终建议话术**：
你可以直接试探：“我是新开档口的，想做长期。你这边如果月供200件，能签保底协议吗？万一断货怎么赔？”**如果他痛快答应并拿出合同范本，基本可以确定为稳定一手；如果支支吾吾只催你“先拿两件试试”，大概率是不稳定的中小批发商。**

> 提醒：**切勿被“超低价”迷惑**。一手稳定货源的价格通常只比市场均价低一点点（比如低0.5-1元/箱），低得离谱的（比如低于成本价）往往包含着掺次果、水分打太多或后续加价的风险。
