社区超市找每天配送的水果供应商，重点不是“找最便宜的”，而是看能不能稳定、准时、损耗可控。建议按下面这些条件筛选：

1. **配送能力**
   - 是否能做到每天固定时间送达，比如早上6–8点前到店。
   - 是否有冷链车或保温箱，尤其夏天送叶菜、浆果、切果类。
   - 临时加单、补货、节假日是否还能送。
   - 配送范围是否覆盖你所在区域，起送量是多少。

2. **货源与季节稳定性**
   - 是产地直采、批发市场拿货，还是二级批发。
   - 常见水果能不能全年稳定供，不应季时替换方案是什么。
   - 是否有固定合作果园/基地，还是每天临时拼货。
   - 能不能提供样品，先试送几天看品质波动。

3. **价格与结算**
   - 报价是否含运费、装卸费、损耗补差。
   - 是否每天更新报价，还是锁价一段时间。
   - 起订量、账期、押金、退换货规则要写清。
   - 不要只看单价，要算“到店可售成本”：进价+运费+损耗+退换。

4. **品质与损耗**
   - 到货合格率大概多少，坏果、压伤、熟度不均怎么处理。
   - 是否支持当场验收、拍照留证、次日补货或退款。
   - 易损品如草莓、蓝莓、葡萄、芒果，包装和运输方式很关键。
   - 能不能按你的销售节奏供不同熟度，比如香蕉、猕猴桃。

5. **品类匹配**
   - 能否覆盖你店里销量前20–30个单品。
   - 是否愿意供小批量、多频次，而不是逼你压库存。
   - 能不能配合做特价、堆头、节令礼盒。
   - 有没有进口水果、精品水果、切果原料等补充能力。

6. **资质与安全**
   - 营业执照、食品经营/流通相关资质是否齐全。
   - 有无农残检测报告或批次合格证明。
   - 出现食品安全问题时，能否追溯批次并承担责任。

7. **合作灵活性**
   - 是否允许先小批量试合作1–2周。
   - 缺货、涨价、天气影响时提前多久通知。
   - 能不能签简单供货协议，明确价格、配送、退换、违约。
   - 业务员响应速度如何，出问题能不能当天解决。

**实操建议：**
先找2–3家同时试送，连续跑7–10天，记录：
- 到货时间准不准
- 坏果率多少
- 缺货几次
- 退换快不快
- 实际毛利多少

最后选“配送最稳、损耗最低、售后最快”的那家做主供，另一家做备用。社区超市最怕断货和烂果，稳定比低价更重要。
