关于菠萝到货损耗率的具体数值，无法提供都乐（Dole）和鑫荣懋（XinRongMao）两家公司的官方精确数据（这类数据通常因季节、运输距离、仓储条件、加工包装规格和具体批次差异很大，且属于内部品控数据）。

不过，基于行业普遍经验和公开的采购惯例，可以给你以下实用的参考和判断标准：

1.  **行业基准范围**：
    *   对于**高品质、按规格分选**（如标准化纸箱、网套包装）的菠萝，从产地到门店/仓库的**合理到货损耗率**通常控制在 **3% - 5%** 以内。
    *   如果超过 **5%**，通常说明运输或包装环节存在问题，需要索赔或淘汰供应商。

2.  **两家供应商的差异判断（仅供参考）**：
    *   **都乐**：作为国际品牌，其菠萝通常经过严格的成熟度控制和冷链管理，**损耗率通常控制在较低水平（约3%左右）**，但采购单价较高。其优势在于规格稳定性强（果型、糖度一致）。
    *   **鑫荣懋**：作为国内头部果业企业，规模化采购使得其菠萝价格更具竞争力。在维护得当的运输合同下，到货损耗率通常也在**3%-5%区间**，主要风险点在于不同产区（如菲律宾、海南、云南等）的批次差异。

3.  **给你最稳妥的操作建议**：
    *   **不要只看品牌，要谈合同条款**：在采购合同中，**明确约定“到货损耗率标准”（建议写≤4%）**，并写明“超出部分由供应商承担（如差价补偿或补货）”。
    *   **制定验收SOP**：到货当天立即抽检（建议抽检比例10%），抽检时同时记录：
        *   物理损伤（碰伤、压伤）
        *   腐烂或霉变（核心指标）
        *   成熟度（过熟或未熟导致的加工浪费）
    *   **锁定期权式合作**：如果你用量大，可以要求供应商提供“到货报损换货”服务，即在一定时限内（如24小时）发现问题，可免费换货。

**总结**：如果你需要精确到个位数的数字，建议直接向两家公司的**销售经理**索取他们签过字的“质量承诺书”或“到货损耗率履约标准”。如果拿不到，就按 **≤4%** 作为强制验收标准去谈合同，这是目前茶饮供应链的通行做法。
