茶饮店在采购水果供应商时，为控制食品安全风险，需重点核验以下证明和记录（建议要求供应商提供复印件并加盖公章，或电子盖章件存档）：

**1. 基础资质证明**
- **营业执照**（经营范围需包含水果销售或配送）
- **食品经营许可证**（若涉及鲜切、分装、预包装等处理）。

**2. 产品来源与质量证明**
- **农产品合格证明**：产地的《食用农产品合格证》或质检报告（重点检查农药残留、重金属、致病菌等指标，需符合GB 2763-2021农残限量）。
- **批次检验报告**：每批次水果提供第三方检测报告（如SGS、华测等）或供应商自有实验室检测记录，尤其对高风险品类（草莓、葡萄、柑橘类）做重点抽检。
- **产品追溯信息**：供货商的进货台账、产地证明、运输记录（可追溯到具体种植基地）。

**3. 储存与运输证明**
- **冷库/冷链运输资质**：如供应商提供冷链物流，需提供其运输车辆温度监控记录（如0-4℃或按水果特定要求），以及冷藏设施校验证明。
- **包装与标识合规证明**：水果包装上应标注生产日期、保质期、储存条件、生产者信息等。

**4. 供应商内部管理证明**
- **GMP/ISO22000/HACCP认证**（如有，优先选择）。
- **员工健康证**（加工、分拣人员需持有有效健康证明）。
- **合格供方评审记录**：您可自行要求供应商填写《供应商调查表》并现场审核（或视频审核）其分拣车间卫生状况。

**5. 针对高风险的额外要求**
- **保证协议**：供应商承诺书（明确责任划分，如因水果农残超标导致顾客身体不适，供应商承担连带责任）。
- **保险证明**：部分大型供应商会提供产品责任险（保额建议不低于50万元）。

**操作建议：**
1. 每批进货时，让供应商随货附上“送货单+批次合格证明”，并留存至少2年。
2. 对多次合作的供应商，可要求其每季度或每半年提供一次更新的综合检测报告（非仅单批次）。
3. 若水果用于制作鲜榨果汁或水果茶（需去皮/切配），建议额外查验鲜切水果的微生物检测报告（如菌落总数、大肠菌群、沙门氏菌）。

**例外情况提醒：**若供应商是个体农户直销，通常无法提供批次检测报告，此时您应自行对高风险水果（如叶菜、浆果）进行快速检测（如农残速测卡），或选择有资质的供应商代采。切勿仅凭口头承诺。
