关于菠萝的“锁价”机制，目前市场上公开、标准化的锁价条款较少，**都乐（Dole）和洪九果品**这类大型批发商/进口商，其实际锁价周期通常是**根据订单量、产地及市场行情**来协商的，并非统一固定。

根据行业惯例，我可以给你一些**可参考的区间范围**（非官方公布的精确数据，建议以商务洽谈为准）：

1.  **都乐（Dole）**：
    -   主要做进口菠萝（如菲律宾、哥斯达黎加产地）。
    -   对于长期稳定客户（月度或季度框架），**锁价周期通常在7天到30天之间**。
    -   如果是现货、零单，锁价时间更短，通常为**1-3天**，且需要支付定金锁定货权。
2.  **洪九果品**：
    -   主要覆盖国内市场和东南亚进口（泰国、越南菠萝为主）。
    -   洪九更倾向于“保量不保价”或“价格随行就市”，但若采购量达到整车（约20-30吨）或签订长期采购协议，**锁价周期可谈到10-30天**。
    -   极端行情下（如台风、节假日），即使签了协议，供应方也可能要求一周内调价一次。

**核心建议（实操层面）：**
-   **锁价周期与“定金”和“起订量”强相关**。如果你想锁定30天以上，通常需要支付**合同总额10%-20%的预付款**，且承诺每日/每周的最低提货量。
-   **别只看“锁价”**：菠萝是生鲜，锁价锁的是“货权价格”，但**运输损耗、仓储成本**通常仍是买家承担。
-   **最佳路径**：直接联系两家公司的**大客户部/供应链经理**，明确提出“希望签订季度框架协议，锁价周期按月度滚动”。

如果你需要，我可以帮你起草一份针对菠萝锁价谈判的**询价函模板**，包含你需要的锁价周期条件。
