商超做会员日水果活动，供应商要提前配合的核心是：**保供、保价、保品质、保陈列、保履约**。建议按下面清单提前准备。

1. **提前确认活动方案**
   - 确认活动时间、门店范围、会员价/折扣价、限量规则、是否叠加券。
   - 确认主推单品、规格、包装形式、预计销量、分店分配量。
   - 明确是供应商直送门店、送仓，还是商超统配。

2. **锁定货源与产能**
   - 提前锁定产地/基地/批发市场货源，避免活动前断货。
   - 对易缺货单品准备替代规格或替代品种。
   - 预估销量按平日 2—5 倍准备，爆品可更高，并设置安全库存。

3. **落实价格与费用**
   - 提前确认供货价、促销支持价、返点、损耗补贴、陈列费、堆头费。
   - 明确促销价有效期，避免活动期间临时涨价。
   - 确认发票、结算方式和对账周期。

4. **保证品质与分级**
   - 活动前完成农残检测、质检报告、产地证明等资料。
   - 按商超标准做大小、糖度、外观分级，避免“活动货降品质”。
   - 对易损水果加强包装，减少运输和上架损耗。

5. **安排物流与到货**
   - 提前规划配送频次，活动前 1—2 天完成首轮铺货。
   - 活动期间对爆品安排每日补货，最好有应急补货车辆。
   - 到货时间避开门店高峰期，配合收货、验货、上架节奏。

6. **配合门店陈列与物料**
   - 提供或配合准备价签、POP、试吃物料、包装盒、保鲜袋。
   - 按商超要求做堆头、端架、冷链陈列，确保量感。
   - 对需要试吃的单品，提前准备试吃果和一次性用品。

7. **人员支持**
   - 活动首日、高峰日安排促销员或理货员驻店。
   - 对门店员工做简单培训：卖点、保存方式、试吃话术、补货位置。
   - 明确供应商对接人，保证电话、微信随时响应。

8. **处理损耗与售后**
   - 提前约定损耗承担比例、退换货规则、临期/破损处理方式。
   - 对变质、压伤、规格不符的货，准备快速补换方案。
   - 活动后及时对账，处理差异和尾货。

9. **风险预案**
   - 天气、交通、产地涨价、爆单断货、品质投诉都要有预案。
   - 爆品可准备“限量+替代品”方案，避免顾客投诉。
   - 若活动效果超预期，提前确认能否加量、加车、加班。

简单说，供应商不要只等订单，而要提前和商超确认：**卖什么、卖多少、什么价、送到哪、什么时候送、品质标准、损耗谁担、谁驻店、怎么补货**。这几项定清楚，会员日水果活动基本就稳了。
