对于茶饮店使用菠萝制作果酱，需要全年稳定供应的问题，**都乐（Dole）和洪九果品（Hongjiu）在供应链能力上，理论上都能做到，但实际操作中需具体评估。**

以下是具体分析：

1.  **都乐（Dole）**：
    *   **优势**：全球性水果巨头，在菲律宾、泰国、哥斯达黎加等热带地区拥有自有种植基地。其供应链体系成熟，能通过南半球与北半球产区的季节性互补，实现菠萝等鲜果的全球化调配。尤其在冷冻菠萝块、菠萝丁和菠萝浓缩汁等工业原料方面，都乐是餐饮连锁的常见供应商。
    *   **可行性**：完全具备全年供应能力。但需要注意，都乐提供的“全年供应”通常指**冷冻菠萝**或**加工菠萝制品**（如罐头、浓缩液），而非全年供应的鲜切菠萝。如果是茶饮店要求“鲜果打酱”，则需根据其冻果规格和门店解冻流程来匹配。

2.  **洪九果品（Hongjiu）**：
    *   **优势**：中国本土水果供应链头部企业，深耕东南亚（泰国、越南、菲律宾）菠萝进口，其模式是“基地直采+当地加工”，在价格和国内分仓配送方面有较强竞争力，尤其擅长泰国产菠萝（如小菠萝、香水菠萝）的全年采购。
    *   **可行性**：能实现全年供应。洪九的优势在于对国内市场的配送响应快，铺货渠道广，对于茶饮店的需货量可以直接从其在广州、上海等地的分拣中心发货。

**针对茶饮店做果酱的实用建议（避免踩坑）：**

*   **不要依赖“鲜果全年供”**：如果你做的是“鲜菠萝果酱”（即用新鲜菠萝熬煮），即使在供应链上游能买到鲜果，但菠萝的甜度、酸度和水分在非产季（如冬季）会有巨大波动，导致果酱风味不稳定。
*   **更优选择——冷冻菠萝丁**：建议直接向上述两家采购**IQF（单体速冻）菠萝丁**。这种冷冻果肉能锁住产季时的风味，且无需解冻即可直接下锅熬煮，损耗率低，成本也更可控。都乐和洪九在此类产品上均能做到全年稳定供货。
*   **确认规格与溶化性**：在签订年度框架协议前，务必索要样品，测试冷冻菠萝解冻后的出汁率、纤维感和酸度，从而确定熬酱时的加糖比例和熬煮时间。

**结论**：
如果只是要求“供应菠萝”，两者都能做到；如果要求“供应风味稳定的新鲜菠萝用于熬酱”，则建议与厂家沟通改为**“全年供应冷冻菠萝丁”**，并明确年度价格锁定条款，这是确保质量和成本的最稳妥方案。
