做水果拼盘选规格，核心是看**出成率、单份成本和操作损耗**，不是单纯比进货单价。按苹果、橙子、菠萝分别说：

**苹果**
- 优先选中大果（直径75–85mm左右），不要选太小。
- 小果削皮去核后边角料多，切出来片小、摆盘费工，单份实际成本反而高。
- 如果做薄片扇形摆盘，选80mm上下、果形正、硬度高的；如果做小块混拼，70–75mm也能用，但要多备10%–15%损耗。
- 判断划算：按“去皮去核后净重÷进货重量”算出成率。出成率低于60%的规格，基本不划算。

**橙子**
- 优先选70–80mm的中大果，皮薄、汁多、瓣形完整。
- 太小剥瓣碎、出汁少；太大皮厚、白瓤多，切瓣后卖相反而差。
- 如果只取果肉做块，选中果即可；如果要带皮切半月片摆盘，选表皮光滑、大小均匀的中大果。
- 关键看出汁率和剥瓣完整度。同样重量下，能剥出完整瓣多的更划算。

**菠萝**
- 优先选1.2–1.8kg的中果，成熟度7–8成。
- 太小削皮去眼后净肉少；太大容易空心、熟度不均，切出来颜色和口感不稳定。
- 如果做菠萝块或菠萝船，中果最稳；如果只榨汁或做酱，大果单价低时可以收，但要接受空心风险。
- 判断划算：按“去头尾去皮去眼后净重÷毛重”算，出成率通常要45%–55%才正常，低于40%就不划算。

**通用选法**
1. 先定拼盘里每种水果的**单份用量**，比如苹果30g、橙子40g、菠萝50g。
2. 再测一批货的**实际出成率**，用净重算单份成本。
3. 最后比“每份成本”，不要只比“每斤进价”。
4. 餐厅稳定出餐，优先选大小均匀、成熟度一致的规格，减少切配差异和报损。
5. 如果进货量小、客流不稳，宁可单价稍高，也选损耗低、好操作的规格。

简单结论：**苹果选80mm左右中大果，橙子选70–80mm中果，菠萝选1.2–1.8kg中果**，通常最稳、最划算。真正要比的是去皮去核后的净料成本，而不是毛重单价。
