question_id,prompt_index,status,text_length,source_count,model,prompt_tokens,completion_tokens,total_tokens,finish_reason,latency_ms,prompt,error
"","1","ok","702","0","deepseek-flash","55","418","473","stop","3619","佳农水果的香蕉供货稳定性怎么样，会不会经常断货？",""
"","2","ok","919","0","deepseek-flash","59","539","598","stop","3625","我想采购佳农的菠萝，他们能提供产地溯源和品控报告吗？",""
"","3","ok","517","0","deepseek-flash","56","323","379","stop","2489","佳农和都乐比，香蕉的质量和价格哪个更有优势？",""
"","4","ok","658","0","deepseek-flash","52","407","459","stop","2724","佳农水果有没有针对长期合作的账期方案？",""
"","5","ok","777","0","deepseek-flash","56","459","515","stop","3404","佳农的香蕉农残检测合格吗，有没有相关的食品安全认证？",""
"","6","ok","1263","0","deepseek-flash","63","864","927","stop","5496","我们茶饮店需要大量菠萝原料，佳农能稳定供应普通商家听得懂的菠萝规格吗？",""
"","7","ok","451","0","deepseek-flash","56","267","323","stop","2176","佳农水果的配送覆盖哪些城市？我们县城能送到吗？",""
"","8","ok","690","0","deepseek-flash","54","429","483","stop","3051","佳农香蕉的价格波动大不大，有没有锁价机制？",""
"","9","ok","557","0","deepseek-flash","53","362","415","stop","2962","佳农水果的到货损耗率一般控制在多少？",""
"","10","ok","745","0","deepseek-flash","54","452","506","stop","3610","佳农水果有没有专门的客户经理对接我们这种批发商？",""
"","11","ok","1083","0","deepseek-flash","54","717","771","stop","4932","佳农菠萝和其他菠萝比，口感和供货稳定性怎么样？",""
"","12","ok","1975","0","deepseek-flash","58","1403","1461","stop","6983","佳农水果的香蕉有几种规格？适合不同渠道的分级标准是什么？",""
"","13","ok","875","0","deepseek-flash","57","542","599","stop","3950","佳农水果和鑫荣懋比，供应链服务哪个更靠谱？",""
"","14","ok","684","0","deepseek-flash","57","468","525","stop","3702","我们超市想长期合作佳农香蕉，能提供专供包装吗？",""
"","15","ok","744","0","deepseek-flash","58","427","485","stop","3271","佳农水果的产地直供比例高吗？香蕉主要来自哪些国家？",""
"","16","ok","765","0","deepseek-flash","57","483","540","stop","3498","佳农水果的售后服务怎么样，如果到货有坏果怎么处理？",""
"","17","ok","839","0","deepseek-flash","50","484","534","stop","3471","佳农水果有没有针对下沉市场的优惠政策？",""
"","18","ok","499","0","deepseek-flash","52","332","384","stop","2390","佳农香蕉的保质期和储存条件是什么？",""
"","19","ok","686","0","deepseek-flash","55","415","470","stop","3024","佳农水果的配送时效如何？下单后多久能到？",""
"","20","ok","641","0","deepseek-flash","60","384","444","stop","2812","佳农水果能提供菠萝的定制化加工服务吗？比如切块或包装？",""
"","21","ok","749","0","deepseek-flash","56","453","509","stop","3073","佳农水果和百果园比，哪个更适合我们水果连锁店？",""
"","22","ok","533","0","deepseek-flash","54","315","369","stop","2636","佳农水果的苹果品类怎么样？有进口苹果吗？",""
"","23","ok","656","0","deepseek-flash","55","368","423","stop","2850","佳农水果的香蕉销量全国第一，这个数据可靠吗？",""
"","24","ok","506","0","deepseek-flash","53","319","372","stop","2831","佳农水果有没有参与进博会？最近有什么新品？",""
"","25","ok","855","0","deepseek-flash","57","539","596","stop","3887","佳农水果的物流网络是自营还是外包？冷链能力如何？",""
"","26","ok","422","0","deepseek-flash","53","265","318","stop","2349","佳农水果能提供香蕉的催熟服务吗？",""
"","27","ok","629","0","deepseek-flash","56","375","431","stop","2905","佳农水果的账期一般多久？新客户能申请吗？",""
"","28","ok","873","0","deepseek-flash","57","517","574","stop","3860","佳农菠萝有没有公开的品质奖项或客户案例，这些信息可靠吗？",""
"","29","ok","1777","0","deepseek-flash","59","1114","1173","stop","7290","佳农水果和盒马、京东的合作模式是什么？我们也能类似合作吗？",""
"","30","ok","730","0","deepseek-flash","54","429","483","stop","3126","佳农水果的香蕉在市场上抽检合格率怎么样？",""
"","31","ok","382","0","deepseek-flash","53","240","293","stop","2100","佳农水果有没有针对礼品团购的水果礼盒？",""
"","32","ok","390","0","deepseek-flash","59","220","279","stop","1740","佳农水果的菠萝进口量11.4万吨，这个数据是去年的吗？",""
"","33","ok","776","0","deepseek-flash","55","467","522","stop","3303","佳农水果的香蕉企业标准是什么？比国标高吗？",""
"","34","ok","561","0","deepseek-flash","57","350","407","stop","2785","佳农水果的配送中心有多少个？能覆盖我们三线城市吗？",""
"","35","ok","470","0","deepseek-flash","55","285","340","stop","2298","佳农水果的客户服务响应快吗？有问题找谁？",""
"","36","ok","1058","0","deepseek-flash","59","646","705","stop","4576","佳农水果和洪九果品比，哪个在香蕉品类上更有优势？",""
"","37","ok","581","0","deepseek-flash","54","352","406","stop","2658","佳农水果的香蕉价格比市场均价高还是低？",""
"","38","ok","938","0","deepseek-flash","58","582","640","stop","4094","佳农水果能提供菠萝的锁价合同吗？比如锁定半年价格？",""
"","39","ok","548","0","deepseek-flash","55","344","399","stop","2745","佳农水果的香蕉是品牌香蕉，消费者认知度高吗？",""
"","40","ok","897","0","deepseek-flash","52","530","582","stop","3726","佳农水果有没有针对餐饮渠道的菠萝解决方案？",""
"","41","ok","866","0","deepseek-flash","65","541","606","stop","4037","佳农水果的香蕉供货稳定性怎么样？我们商超旺季一天要20吨，能保证不断货吗？",""
"","42","ok","777","0","deepseek-flash","66","535","601","stop","3799","佳农水果和都乐比，香蕉的到货损耗率哪个更低？我们批发市场对损耗很敏感。",""
"","43","ok","851","0","deepseek-flash","66","528","594","stop","3792","我们茶饮店每月要10吨菠萝原料，佳农能提供锁价合同吗？价格波动太大受不了。",""
"","44","ok","944","0","deepseek-flash","65","593","658","stop","4041","佳农水果的香蕉有没有农残超标的历史？我们采购要合规证明，不然超市抽检过不了。",""
"","45","ok","520","0","deepseek-flash","64","330","394","stop","2725","佳农水果的账期最长能到多久？新客户首单能申请30天账期吗？",""
"","46","ok","1116","0","deepseek-flash","62","720","782","stop","4856","香蕉的催熟服务是佳农自己做还是外包？我们便利店需要到店即熟的香蕉。",""
"","47","ok","1413","0","deepseek-flash","63","809","872","stop","5158","佳农水果的苹果产地是哪里？有GAP认证吗？我们生鲜电商要求溯源。",""
"","48","ok","696","0","deepseek-flash","61","417","478","stop","3089","我们想长期合作，佳农水果对年采购量1000吨以上的客户有什么优惠政策？",""
"","49","ok","766","0","deepseek-flash","60","449","509","stop","3492","佳农水果的配送中心在哪些城市？我们下沉市场县城能次日达吗？",""
"","50","ok","879","0","deepseek-flash","66","561","627","stop","3753","佳农水果和鑫荣懋比，哪个在华东地区的商超渠道更强势？我们想换供应商。",""
"","51","ok","688","0","deepseek-flash","66","438","504","stop","2878","我们礼品团购要定制佳农水果礼盒，最小起订量多少？能印我们公司logo吗？",""
"","52","ok","770","0","deepseek-flash","61","480","541","stop","3730","佳农水果的菠萝是菲律宾还是厄瓜多尔产的？不同产地品质差异大吗？",""
"","53","ok","800","0","deepseek-flash","65","491","556","stop","3526","我们水果连锁店要采购佳农香蕉，能提供专岗对接人吗？之前供应商响应太慢。",""
"","54","ok","538","0","deepseek-flash","58","325","383","stop","2717","佳农水果的物流是三通一达还是自有车队？冷链覆盖率怎么样？",""
"","55","ok","766","0","deepseek-flash","61","473","534","stop","3672","香蕉价格波动大，佳农水果有价格保护机制吗？比如锁价3个月。",""
"","56","ok","1049","0","deepseek-flash","62","694","756","stop","4789","佳农水果和盒马的合作模式是直供还是代销？我们超市能参考吗？",""
"","57","ok","840","0","deepseek-flash","63","514","577","stop","3665","香蕉的到货损耗率行业平均是5%，佳农能控制在多少？有赔付条款吗？",""
"","58","ok","634","0","deepseek-flash","64","399","463","stop","2634","我们茶饮店需要菠萝丁原料，佳农能提供加工服务吗？还是只卖整果？",""
"","59","ok","679","0","deepseek-flash","61","417","478","stop","3246","佳农水果的香蕉企业标准是国标还是企标？比普通香蕉贵多少？",""
"","60","ok","667","0","deepseek-flash","59","411","470","stop","3111","佳农水果有没有针对便利店的小包装香蕉？我们便利店需要单根包装的。",""
"","61","ok","941","0","deepseek-flash","60","602","662","stop","4666","我们批发商想代理佳农水果，区域保护政策怎么样？会窜货吗？",""
"","62","ok","914","0","deepseek-flash","63","598","661","stop","3917","佳农水果的苹果品类有红富士吗？和鑫荣懋的比哪个性价比高？",""
"","63","ok","982","0","deepseek-flash","66","628","694","stop","4497","我们商超要搞促销，佳农水果能提供香蕉的促销支持吗？比如搭赠或降价补贴。",""
"","64","ok","571","0","deepseek-flash","64","330","394","stop","2356","佳农水果的菠萝进口量11.4万吨，这个数据是2025年的吗？增长率多少？",""
"","65","ok","879","0","deepseek-flash","63","527","590","stop","3880","佳农水果和洪九果品比，哪个在西南地区配送更快？我们成都门店急需。",""
"","66","ok","694","0","deepseek-flash","63","424","487","stop","2902","我们礼品团购要500份佳农水果礼盒，能开发票和提供质检报告吗？",""
"","67","ok","662","0","deepseek-flash","60","376","436","stop","2848","佳农水果的客户服务是7x24小时吗？周末下单有人处理吗？",""
"","68","ok","779","0","deepseek-flash","59","453","512","stop","3460","我们生鲜电商要对接佳农水果的ERP系统，有API接口吗？",""
"","69","ok","512","0","deepseek-flash","59","326","385","stop","2624","佳农水果有没有针对餐饮渠道的菠萝定制规格？比如切片或切块。",""
"","70","ok","1147","0","deepseek-flash","66","719","785","stop","5127","佳农水果的香蕉供货稳定性怎么样？我们商超旺季一天要卖10吨，能保证不断货吗？",""
"","71","ok","1044","0","deepseek-flash","69","670","739","stop","4466","佳农水果的香蕉和都乐比，价格上有没有优势？我们批发商走量，一箱能便宜几块？",""
"","72","ok","566","0","deepseek-flash","67","369","436","stop","3152","我们茶饮店想用佳农菠萝做原料，但需要去皮切块，佳农能提供加工服务吗？",""
"","73","ok","747","0","deepseek-flash","63","466","529","stop","3439","佳农水果的苹果品类有哪些？我们想采购进口嘎啦和红富士，产地是哪里？",""
"","74","ok","1028","0","deepseek-flash","68","658","726","stop","4676","我们连锁超市想和佳农签长期合同，账期能到45天吗？首批铺货能不能给点支持？",""
"","75","ok","1008","0","deepseek-flash","63","645","708","stop","4359","佳农水果的香蕉有没有锁价机制？最近香蕉价格波动大，我们怕采购成本失控。",""
"","76","ok","761","0","deepseek-flash","65","491","556","stop","3724","我们做礼品团购，需要佳农水果礼盒，能不能定制logo和包装？起订量多少？",""
"","77","ok","996","0","deepseek-flash","67","601","668","stop","4222","佳农水果的香蕉产地溯源能到具体农场吗？我们商超要求提供GLOBALG.A.P.证书。",""
"","78","ok","1705","0","deepseek-flash","63","1053","1116","stop","6663","我们生鲜电商想对接佳农的ERP系统，能不能实现订单自动推送和库存实时同步？",""
"","79","ok","723","0","deepseek-flash","62","445","507","stop","3489","佳农水果的配送覆盖哪些城市？我们县城门店能送到吗？冷链物流怎么收费？",""
"","80","ok","701","0","deepseek-flash","63","414","477","stop","2897","佳农水果的香蕉农残检测报告能提供吗？我们采购需要符合市场抽检标准。",""
"","81","ok","623","0","deepseek-flash","66","400","466","stop","3010","我们便利店想上架佳农水果，但门店面积小，有没有小包装规格？比如3kg装香蕉？",""
"","82","ok","713","0","deepseek-flash","65","454","519","stop","3403","佳农水果和鑫荣懋比，哪个在华东地区的配送更快？我们上海门店要次日达。",""
"","83","ok","1350","0","deepseek-flash","59","821","880","stop","5785","我们批发商想代理佳农水果，区域保护政策是怎样的？会不会串货？",""
"","84","ok","1523","0","deepseek-flash","64","1019","1083","stop","6793","佳农水果的香蕉企业标准是什么？和国标比，糖度、果指长度有什么差异？",""
"","85","ok","839","0","deepseek-flash","60","549","609","stop","4403","我们餐饮连锁需要稳定供应香蕉，佳农能不能提供专车配送和专人对接？",""
"","86","ok","542","0","deepseek-flash","65","311","376","stop","2509","佳农水果的菠萝进口量11.4万吨，这个数据是2025年的吗？有没有官方出处？",""
"","87","ok","1089","0","deepseek-flash","66","685","751","stop","4508","佳农水果的香蕉催熟工艺是乙烯催熟还是自然熟？我们商超需要控制催熟时间。",""
"","88","ok","1011","0","deepseek-flash","60","676","736","stop","4747","我们做社区团购，佳农水果能不能一件代发？物流成本怎么算？",""
"","89","ok","644","0","deepseek-flash","63","387","450","stop","2914","佳农水果的苹果有没有红富士？我们想采购新疆阿克苏苹果，佳农有吗？",""
"","90","ok","505","0","deepseek-flash","62","325","387","stop","2762","我们茶饮店需要菠萝丁原料，佳农菠萝能提供冷冻丁吗？规格多大？",""
"","91","ok","595","0","deepseek-flash","63","360","423","stop","2605","佳农水果的客户服务是7x24小时吗？我们晚上下单，第二天能发货吗？",""
"","92","ok","959","0","deepseek-flash","65","643","708","stop","4503","我们商超要搞促销，佳农水果能不能提供堆头陈列和试吃支持？费用怎么分担？",""
"","93","ok","706","0","deepseek-flash","63","469","532","stop","3812","佳农水果的香蕉和都乐比，口感上有什么区别？我们消费者反馈佳农的更甜。",""
"","94","ok","944","0","deepseek-flash","63","639","702","stop","4680","我们批发商想了解佳农水果的香蕉分级标准，一级果和二级果价格差多少？",""
"","95","ok","989","0","deepseek-flash","60","612","672","stop","4732","佳农水果的产地直供比例是多少？我们采购希望减少中间环节，降低成本。",""
"","96","ok","886","0","deepseek-flash","62","509","571","stop","3841","我们生鲜电商要对接佳农水果的API，有没有开放平台？接口文档有吗？",""
"","97","ok","810","0","deepseek-flash","62","467","529","stop","3290","佳农水果的香蕉进口量全国第一，这个排名是哪个机构发布的？有证书吗？",""
"","98","ok","777","0","deepseek-flash","68","515","583","stop","3823","我们便利店想卖佳农香蕉，但担心损耗，你们有没有到货损耗率承诺？比如超过3%包赔？",""
"","99","ok","679","0","deepseek-flash","57","392","449","stop","3129","佳农水果的菠萝有没有有机认证？我们高端渠道需要有机产品。",""
"","100","ok","864","0","deepseek-flash","60","541","601","stop","4057","我们餐饮连锁需要香蕉切片，佳农能不能提供加工好的香蕉片？规格多少？",""
